Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,16.7,36.36
Bremen-Flughafen,Regenschauer,17.9,11.88
Cuxhaven,Leicht Bewölkt,16.9,25.56
Emden-Flughafen,Wolkig,17.2,17.28
Greifswald,Wolkig,17.8,21.6
Hamburg-Fuhlsbüttel,Wolkig,18.5,23.4
Hannover-Langenhagen,Regenschauer,17.8,19.08
Helgoland,Trocken,16.3,22.32
Kiel-Holtenau,Stark Bewölkt,17.7,29.16
List auf Sylt,Wolkig,15.7,28.44
Marnitz,Wolkig,18.8,12.6
Norderney,Wolkenlos,16.4,24.48
Rostock-Warnemünde,Wolkig,17.5,21.24
Schleswig,Stark Bewölkt,15.9,17.28
Schwerin,Leichter Sprühregen,17.5,17.28
Westermarkelsdorf,Wolkig,16.9,34.2
Angermünde,Wolkig,17.7,12.24
Berlin-Tegel,Stark Bewölkt,19.7,17.64
Brocken,Leicht Bewölkt,10.3,20.16
Cottbus,Wolkenlos,21.3,7.2
Dresden-Klotzsche,Stark Bewölkt,19.4,12.96
Erfurt-Bindersleben,Stark Bewölkt,19.1,9.72
Fichtelberg,Wolkig,11.1,23.4
Gera-Leumnitz,Bedeckt,18.8,5.04
Görlitz,Stark Bewölkt,19.6,6.48
Leipzig-Schkeuditz,Stark Bewölkt,19.4,12.24
Lindenberg,Wolkenlos,19.8,13.32
Magdeburg,Wolkig,20.6,9.72
Meiningen,Stark Bewölkt,17.8,15.12
Neuruppin-Alt Ruppin,Stark Bewölkt,19.3,11.88
Potsdam,Wolkig,18.5,12.24
Augsburg-Mühlhausen,Wolkenlos,20.6,16.92
Bamberg,Trocken,20.6,12.6
Feldberg/Schwarzwald,Stark Bewölkt,10.4,20.16
Freudenstadt,Wolkenlos,17.6,18.36
Fürstenzell,Regen,14.4,11.16
Grosser Arber,Bedeckt,9.5,10.8
Hof Hohensaas,Wolkig,17.8,6.84
Hohenpeissenberg,Nebel,12.8,2.16
Kempten,Stark Bewölkt,15.9,7.2
Konstanz,Bedeckt,20.0,9.0
Lahr,Wolkenlos,23.8,21.6
Mannheim,Trockener Dunst,22.5,7.92
München-Flughafen,Stark Bewölkt,17.7,4.68
Nürnberg-Flughafen,Stark Bewölkt,22.0,21.6
Oberstdorf,Sprühregen,13.3,2.52
Oehringen,Wolkig,21.4,13.32
Regensburg,Wolkig,21.2,10.44
Rheinstetten,Wolkig,22.0,14.04
Straubing,Stark Bewölkt,19.6,13.32
Stuttgart-Echterdingen,Wolkig,20.1,15.48
Weiden,Regen,17.3,5.76
Würzburg,Stark Bewölkt,22.1,9.36
Zugspitze,Regen,0.1,10.44
Aachen,Leichter Regen,15.7,20.52
Bad Lippspringe,Wolkig,18.6,12.96
Düsseldorf-Flughafen,Stark Bewölkt,18.5,17.28
Frankfurt/M.-Flughafen,Wolkig,21.2,16.56
Fritzlar,-,19.8,10.8
Gießen Wettenberg,Bedeckt,20.5,6.48
Hahn-Flughafen,Trocken,16.8,10.8
Kahler Asten,Stark Bewölkt,12.6,16.92
Köln-Wahn,Wolkig,19.1,14.76
Münster/Osnabrück-Flughafen,Niederschlag,16.0,9.0
Nürburg-Barweiler,Stark Bewölkt,17.6,15.84
Offenbach/Wetterpark,Stark Bewölkt,20.8,10.8
Saarbrücken/Ensheim,Wolkig,21.2,12.96
Trier-Petrisberg,Wolkig,20.3,8.64
Wasserkuppe,Stark Bewölkt,13.9,12.6
