Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leicht Bewölkt,8.8,36.0
Bremen-Flughafen,Wolkig,11.3,12.24
Cuxhaven,Wolkig,8.8,19.8
Emden-Flughafen,Stark Bewölkt,9.8,13.68
Greifswald,Leicht Bewölkt,10.9,24.48
Hamburg-Fuhlsbüttel,Wolkig,11.4,11.88
Hannover-Langenhagen,Wolkig,11.6,15.48
Helgoland,Leicht Bewölkt,10.5,16.2
Kiel-Holtenau,Wolkig,10.5,17.28
List auf Sylt,Leicht Bewölkt,9.7,31.68
Marnitz,Wolkig,11.3,8.279999
Norderney,Leicht Bewölkt,8.7,18.72
Rostock-Warnemünde,Leicht Bewölkt,9.1,25.92
Schleswig,Stark Bewölkt,12.5,11.88
Schwerin,Stark Bewölkt,9.9,10.8
Westermarkelsdorf,Wolkenlos,9.1,26.64
Angermünde,Wolkig,12.1,17.28
Berlin-Tegel,Wolkig,13.0,11.88
Brocken,Nebel,0.1,15.48
Cottbus,Stark Bewölkt,14.0,9.72
Dresden-Klotzsche,Wolkig,13.5,14.04
Erfurt-Bindersleben,Stark Bewölkt,9.4,9.72
Fichtelberg,Regen,4.3,15.84
Gera-Leumnitz,Wolkig,11.0,7.2
Görlitz,Stark Bewölkt,12.6,11.16
Leipzig-Schkeuditz,Bedeckt,10.8,16.56
Lindenberg,Leicht Bewölkt,12.9,12.24
Magdeburg,Stark Bewölkt,11.5,9.36
Meiningen,Stark Bewölkt,8.8,21.6
Neuruppin-Alt Ruppin,Stark Bewölkt,11.7,11.16
Potsdam,Stark Bewölkt,11.7,10.08
Augsburg-Mühlhausen,Stark Bewölkt,10.7,14.04
Bamberg,Stark Bewölkt,13.3,15.12
Feldberg/Schwarzwald,Nebel,1.3,32.04
Freudenstadt,Sprühregen,5.9,15.12
Fürstenzell,Bedeckt,9.7,9.0
Grosser Arber,Nebel,2.1,11.88
Hof Hohensaas,Wolkig,10.0,15.48
Hohenpeissenberg,Nebel,5.3,11.52
Kempten,Bedeckt,8.0,8.64
Konstanz,Bedeckt,10.6,12.24
Lahr,Bedeckt,11.5,14.04
Mannheim,Bedeckt,14.1,18.36
München-Flughafen,Stark Bewölkt,10.6,8.279999
Nürnberg-Flughafen,Bedeckt,12.4,9.0
Oberstdorf,Bedeckt,9.0,7.56
Oehringen,Stark Bewölkt,14.0,11.52
Regensburg,Bedeckt,13.3,10.08
Rheinstetten,Stark Bewölkt,15.2,16.2
Straubing,Bedeckt,11.4,14.04
Stuttgart-Echterdingen,Bedeckt,11.0,11.16
Weiden,Stark Bewölkt,12.5,6.48
Würzburg,Stark Bewölkt,13.4,14.76
Zugspitze,Nebel,0.1,20.16
Aachen,Leicht Bewölkt,10.4,20.52
Bad Lippspringe,Stark Bewölkt,12.2,15.48
Düsseldorf-Flughafen,Leicht Bewölkt,11.9,23.04
Frankfurt/M.-Flughafen,Leicht Bewölkt,12.8,22.32
Fritzlar,Wolkig,10.2,14.4
Gießen Wettenberg,Leicht Bewölkt,13.2,16.56
Hahn-Flughafen,Trocken,9.3,15.48
Kahler Asten,Stark Bewölkt,6.3,15.48
Köln-Wahn,Wolkig,12.0,19.08
Münster/Osnabrück-Flughafen,Wolkig,12.1,8.64
Nürburg-Barweiler,Leicht Bewölkt,9.5,16.56
Offenbach/Wetterpark,Wolkig,13.2,14.76
Saarbrücken/Ensheim,Wolkig,12.1,23.76
Trier-Petrisberg,Wolkenlos,13.0,20.88
Wasserkuppe,Wolkig,6.5,20.16
