Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Stark Bewölkt,11.9,29.52
Bremen-Flughafen,Regenschauer,12.5,25.2
Cuxhaven,Stark Bewölkt,13.2,11.88
Emden-Flughafen,Regen,9.3,8.64
Greifswald,Stark Bewölkt,14.9,17.28
Hamburg-Fuhlsbüttel,Wolkig,13.9,23.04
Hannover-Langenhagen,Regen,12.9,20.52
Helgoland,Stark Bewölkt,10.6,7.92
Kiel-Holtenau,-,11.4,16.2
List auf Sylt,Stark Bewölkt,10.4,29.16
Marnitz,Regen,13.7,14.4
Norderney,Bedeckt,10.6,19.44
Rostock-Warnemünde,Stark Bewölkt,13.0,18.36
Schleswig,Bedeckt,13.1,18.72
Schwerin,Stark Bewölkt,14.0,19.8
Westermarkelsdorf,Bedeckt,11.3,10.44
Angermünde,Stark Bewölkt,14.6,16.92
Berlin-Tegel,Niederschlag,14.0,14.04
Brocken,Bedeckt,3.3,40.68
Cottbus,Stark Bewölkt,17.4,17.28
Dresden-Klotzsche,Wolkig,16.8,24.48
Erfurt-Bindersleben,Niederschlag,9.7,28.08
Fichtelberg,Stark Bewölkt,6.3,31.32
Gera-Leumnitz,Regen,11.2,20.16
Görlitz,Wolkig,16.1,14.76
Leipzig-Schkeuditz,Leicht Bewölkt,16.4,31.32
Lindenberg,Stark Bewölkt,15.2,20.88
Magdeburg,Stark Bewölkt,14.8,12.24
Meiningen,Bedeckt,8.8,14.4
Neuruppin-Alt Ruppin,Leichter Sprühregen,13.0,10.44
Potsdam,Stark Bewölkt,14.9,21.24
Augsburg-Mühlhausen,Stark Bewölkt,13.1,19.8
Bamberg,Regen,11.3,22.32
Feldberg/Schwarzwald,Leichter Schneefall,1.6,41.4
Freudenstadt,Bedeckt,8.6,26.28
Fürstenzell,Bedeckt,13.7,11.52
Grosser Arber,Stark Bewölkt,4.7,25.56
Hof Hohensaas,Stark Bewölkt,12.8,17.64
Hohenpeissenberg,Stark Bewölkt,12.0,5.04
Kempten,Bedeckt,12.7,6.84
Konstanz,Leichter Regen,12.4,19.08
Lahr,Bedeckt,14.0,25.56
Mannheim,Leichter Sprühregen,12.2,15.84
München-Flughafen,Stark Bewölkt,14.2,24.84
Nürnberg-Flughafen,Niederschlag,13.0,30.6
Oberstdorf,Leichter Regen,12.6,9.72
Oehringen,Leichter Regen,12.3,13.32
Regensburg,Stark Bewölkt,15.8,12.6
Rheinstetten,Leichter Regen,12.4,18.0
Straubing,Stark Bewölkt,15.7,20.88
Stuttgart-Echterdingen,Stark Bewölkt,14.1,24.48
Weiden,Stark Bewölkt,14.6,16.92
Würzburg,Regen,12.1,8.64
Zugspitze,Feuchter Dunst,-5.3,22.32
Aachen,Stark Bewölkt,12.1,28.44
Bad Lippspringe,Stark Bewölkt,12.2,17.64
Düsseldorf-Flughafen,Wolkig,13.4,33.84
Frankfurt/M.-Flughafen,Niederschlag,9.6,18.72
Fritzlar,-,12.6,14.4
Gießen Wettenberg,Bedeckt,12.2,17.28
Hahn-Flughafen,Sprühregen,8.1,22.68
Kahler Asten,Bedeckt,6.6,30.24
Köln-Wahn,Stark Bewölkt,13.2,20.88
Münster/Osnabrück-Flughafen,Niederschlag,13.7,17.64
Nürburg-Barweiler,Bedeckt,8.1,18.72
Offenbach/Wetterpark,Leichter Regen,11.2,14.4
Saarbrücken/Ensheim,Regenschauer,10.6,19.08
Trier-Petrisberg,Wolkig,12.2,25.2
Wasserkuppe,Stark Bewölkt,6.8,31.32
