Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leicht Bewölkt,10.5,15.12
Bremen-Flughafen,Wolkig,18.6,14.04
Cuxhaven,Bedeckt,15.9,11.52
Emden-Flughafen,Stark Bewölkt,17.6,15.12
Greifswald,Wolkig,13.0,15.84
Hamburg-Fuhlsbüttel,Wolkig,17.7,10.08
Hannover-Langenhagen,Leicht Bewölkt,19.3,7.2
Helgoland,Stark Bewölkt,12.1,12.24
Kiel-Holtenau,Stark Bewölkt,16.8,16.56
List auf Sylt,Bedeckt,11.3,18.0
Marnitz,Wolkenlos,18.0,4.68
Norderney,Wolkenlos,14.1,9.36
Rostock-Warnemünde,Wolkenlos,11.7,11.16
Schleswig,Leicht Bewölkt,18.1,14.76
Schwerin,Wolkig,17.1,8.64
Westermarkelsdorf,Wolkenlos,13.8,7.2
Angermünde,Leicht Bewölkt,19.5,14.4
Berlin-Tegel,Leicht Bewölkt,19.8,19.44
Brocken,Leicht Bewölkt,11.1,34.92
Cottbus,Wolkenlos,20.8,14.04
Dresden-Klotzsche,Wolkenlos,20.2,7.92
Erfurt-Bindersleben,Stark Bewölkt,19.4,12.96
Fichtelberg,Wolkenlos,13.8,21.24
Gera-Leumnitz,Leicht Bewölkt,19.5,19.44
Görlitz,Wolkenlos,19.2,16.92
Leipzig-Schkeuditz,Wolkenlos,20.5,14.04
Lindenberg,Leicht Bewölkt,20.2,14.76
Magdeburg,Wolkenlos,19.5,6.12
Meiningen,Leicht Bewölkt,18.4,14.76
Neuruppin-Alt Ruppin,Leicht Bewölkt,18.8,10.44
Potsdam,Leicht Bewölkt,21.3,18.0
Augsburg-Mühlhausen,Regen,15.6,8.279999
Bamberg,Wolkenlos,19.8,10.08
Feldberg/Schwarzwald,-,10.0,27.0
Freudenstadt,Leicht Bewölkt,15.9,15.12
Fürstenzell,Stark Bewölkt,15.7,8.279999
Grosser Arber,Wolkig,9.0,15.48
Hof Hohensaas,Wolkenlos,18.0,14.04
Hohenpeissenberg,Leicht Bewölkt,17.2,16.56
Kempten,Wolkenlos,17.7,13.68
Konstanz,Wolkig,19.7,9.36
Lahr,Leicht Bewölkt,21.6,13.32
Mannheim,Wolkig,21.6,17.64
München-Flughafen,Stark Bewölkt,17.8,5.4
Nürnberg-Flughafen,Wolkig,19.4,6.84
Oberstdorf,Leicht Bewölkt,17.9,7.92
Oehringen,Leicht Bewölkt,20.2,11.52
Regensburg,Wolkig,19.8,11.52
Rheinstetten,Leicht Bewölkt,21.1,16.92
Straubing,Stark Bewölkt,17.5,10.44
Stuttgart-Echterdingen,Leicht Bewölkt,19.0,6.48
Weiden,Bedeckt,16.4,5.4
Würzburg,Leicht Bewölkt,21.8,17.64
Zugspitze,Wolkenlos,-4.2,29.16
Aachen,Stark Bewölkt,18.5,17.64
Bad Lippspringe,Wolkenlos,19.6,16.56
Düsseldorf-Flughafen,Wolkig,19.7,15.48
Frankfurt/M.-Flughafen,Wolkig,21.3,17.28
Fritzlar,Wolkig,19.7,21.6
Gießen Wettenberg,Wolkig,20.3,6.84
Hahn-Flughafen,Trocken,17.0,16.2
Kahler Asten,Leicht Bewölkt,15.5,21.6
Köln-Wahn,Leicht Bewölkt,20.6,10.8
Münster/Osnabrück-Flughafen,Leicht Bewölkt,19.7,14.04
Nürburg-Barweiler,Wolkig,18.5,8.279999
Offenbach/Wetterpark,Wolkig,21.0,15.12
Saarbrücken/Ensheim,Stark Bewölkt,19.2,17.64
Trier-Petrisberg,Wolkig,19.9,14.76
Wasserkuppe,Wolkig,17.7,20.52
