Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,8.9,10.08
Bremen-Flughafen,Stark Bewölkt,16.0,12.24
Cuxhaven,Wolkenlos,12.1,14.76
Emden-Flughafen,Wolkig,16.5,10.44
Greifswald,Stark Bewölkt,13.1,7.2
Hamburg-Fuhlsbüttel,Wolkig,14.9,12.24
Hannover-Langenhagen,Wolkig,16.0,13.32
Helgoland,Leicht Bewölkt,10.6,6.84
Kiel-Holtenau,Leicht Bewölkt,14.7,8.279999
List auf Sylt,Bedeckt,9.5,20.52
Marnitz,Wolkig,14.3,7.92
Norderney,Leicht Bewölkt,10.7,9.72
Rostock-Warnemünde,Wolkenlos,10.0,11.52
Schleswig,Wolkig,15.4,10.08
Schwerin,Stark Bewölkt,14.7,10.08
Westermarkelsdorf,Bedeckt,10.2,11.16
Angermünde,Bedeckt,13.2,9.0
Berlin-Tegel,Stark Bewölkt,14.6,6.12
Brocken,Stark Bewölkt,9.4,11.88
Cottbus,Wolkenlos,15.6,7.2
Dresden-Klotzsche,Stark Bewölkt,14.0,5.04
Erfurt-Bindersleben,Leicht Bewölkt,14.3,8.279999
Fichtelberg,Stark Bewölkt,10.1,6.84
Gera-Leumnitz,Bedeckt,14.0,6.48
Görlitz,Wolkenlos,14.8,8.279999
Leipzig-Schkeuditz,Wolkig,13.6,6.48
Lindenberg,Leicht Bewölkt,14.8,5.04
Magdeburg,Wolkenlos,15.7,6.12
Meiningen,Wolkig,17.2,7.2
Neuruppin-Alt Ruppin,Stark Bewölkt,14.5,8.64
Potsdam,Stark Bewölkt,14.9,6.48
Augsburg-Mühlhausen,Bedeckt,18.7,12.24
Bamberg,Wolkenlos,18.9,11.16
Feldberg/Schwarzwald,Bedeckt,11.2,7.92
Freudenstadt,Wolkenlos,18.6,4.68
Fürstenzell,Wolkig,19.5,9.0
Grosser Arber,Bedeckt,8.7,6.48
Hof Hohensaas,Wolkig,14.7,5.04
Hohenpeissenberg,Wolkenlos,16.5,8.64
Kempten,Wolkig,18.9,6.12
Konstanz,Wolkenlos,22.4,10.08
Lahr,Wolkenlos,22.4,14.4
Mannheim,Wolkenlos,22.3,6.12
München-Flughafen,Wolkig,19.1,7.2
Nürnberg-Flughafen,Wolkig,19.1,10.08
Oberstdorf,Wolkenlos,20.0,9.72
Oehringen,Wolkenlos,21.4,7.92
Regensburg,-,21.0,5.4
Rheinstetten,Wolkenlos,22.3,8.279999
Straubing,Stark Bewölkt,19.0,6.84
Stuttgart-Echterdingen,Leicht Bewölkt,20.4,9.0
Weiden,Leicht Bewölkt,17.3,8.64
Würzburg,Bedeckt,19.4,12.24
Zugspitze,Leicht Bewölkt,0.3,8.279999
Aachen,Wolkenlos,20.4,7.92
Bad Lippspringe,Wolkenlos,18.1,13.68
Düsseldorf-Flughafen,Wolkig,21.3,2.88
Frankfurt/M.-Flughafen,Leicht Bewölkt,20.8,5.4
Fritzlar,-,17.2,10.8
Gießen Wettenberg,Wolkig,18.5,8.279999
Hahn-Flughafen,Trocken,19.1,4.68
Kahler Asten,Leicht Bewölkt,14.8,10.08
Köln-Wahn,Leicht Bewölkt,22.5,5.76
Münster/Osnabrück-Flughafen,Wolkig,18.3,6.84
Nürburg-Barweiler,Wolkig,19.8,6.48
Offenbach/Wetterpark,Wolkig,20.1,9.0
Saarbrücken/Ensheim,Leicht Bewölkt,22.6,10.44
Trier-Petrisberg,Wolkenlos,22.3,10.08
Wasserkuppe,Wolkig,15.1,7.56
