Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,20.1,10.44
Bremen-Flughafen,Leicht Bewölkt,28.1,23.4
Cuxhaven,Wolkenlos,29.1,15.12
Emden-Flughafen,Wolkenlos,27.2,25.92
Greifswald,Wolkig,24.2,21.24
Hamburg-Fuhlsbüttel,Leicht Bewölkt,28.5,17.64
Hannover-Langenhagen,Leicht Bewölkt,27.7,25.92
Helgoland,Wolkenlos,23.0,15.48
Kiel-Holtenau,Wolkenlos,27.2,14.76
List auf Sylt,Wolkenlos,26.2,10.8
Marnitz,Wolkenlos,27.2,10.44
Norderney,Wolkenlos,27.8,20.88
Rostock-Warnemünde,Leicht Bewölkt,27.7,9.72
Schleswig,Leicht Bewölkt,27.3,12.96
Schwerin,Leicht Bewölkt,27.3,14.04
Westermarkelsdorf,Wolkenlos,24.6,18.36
Angermünde,Stark Bewölkt,27.0,15.48
Berlin-Tegel,Wolkig,28.2,12.24
Brocken,Stark Bewölkt,16.8,27.0
Cottbus,Sprühregen,25.8,9.0
Dresden-Klotzsche,Stark Bewölkt,23.6,14.4
Erfurt-Bindersleben,Leicht Bewölkt,23.4,16.2
Fichtelberg,Wolkig,15.7,25.2
Gera-Leumnitz,Wolkig,24.6,18.36
Görlitz,Wolkig,20.9,23.04
Leipzig-Schkeuditz,Stark Bewölkt,26.4,16.92
Lindenberg,Regen,25.1,6.48
Magdeburg,Wolkig,28.0,12.24
Meiningen,Wolkenlos,24.2,5.76
Neuruppin-Alt Ruppin,Leicht Bewölkt,28.0,8.64
Potsdam,Wolkig,28.6,12.6
Augsburg-Mühlhausen,Wolkenlos,23.9,7.56
Bamberg,Wolkenlos,24.3,10.44
Feldberg/Schwarzwald,Regen,13.5,27.0
Freudenstadt,Bedeckt,21.3,11.16
Fürstenzell,-,21.4,8.279999
Grosser Arber,Stark Bewölkt,12.1,17.64
Hof Hohensaas,Wolkig,21.7,11.16
Hohenpeissenberg,Wolkig,20.9,17.28
Kempten,Regen,17.6,13.68
Konstanz,Regen,20.6,5.04
Lahr,Stark Bewölkt,25.2,24.48
Mannheim,Leicht Bewölkt,27.2,14.4
München-Flughafen,Leicht Bewölkt,23.0,5.04
Nürnberg-Flughafen,Leicht Bewölkt,24.2,6.48
Oberstdorf,Starker Regen,14.9,10.08
Oehringen,Wolkenlos,26.4,7.2
Regensburg,Wolkenlos,22.4,7.92
Rheinstetten,Wolkenlos,27.5,14.76
Straubing,Wolkenlos,21.9,9.0
Stuttgart-Echterdingen,Wolkig,25.6,6.12
Weiden,Leicht Bewölkt,22.4,9.36
Würzburg,Wolkenlos,25.4,13.32
Zugspitze,Nebel,4.0,16.92
Aachen,Wolkenlos,28.0,6.48
Bad Lippspringe,Wolkenlos,26.2,15.48
Düsseldorf-Flughafen,Leicht Bewölkt,28.5,20.52
Frankfurt/M.-Flughafen,Leicht Bewölkt,27.3,14.76
Fritzlar,Leicht Bewölkt,26.2,10.8
Gießen Wettenberg,Wolkenlos,25.2,16.56
Hahn-Flughafen,Trocken,24.5,16.56
Kahler Asten,Wolkenlos,19.5,22.68
Köln-Wahn,Leicht Bewölkt,27.3,19.08
Münster/Osnabrück-Flughafen,Leicht Bewölkt,26.6,14.76
Nürburg-Barweiler,Wolkenlos,25.2,13.32
Offenbach/Wetterpark,Wolkenlos,27.2,11.16
Saarbrücken/Ensheim,Wolkig,26.1,11.52
Trier-Petrisberg,Wolkenlos,28.2,9.0
Wasserkuppe,Leicht Bewölkt,20.3,17.64
