Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,17.0,14.04
Bremen-Flughafen,Stark Bewölkt,26.3,13.32
Cuxhaven,Stark Bewölkt,21.0,18.0
Emden-Flughafen,Wolkig,24.0,15.48
Greifswald,Leicht Bewölkt,21.7,16.56
Hamburg-Fuhlsbüttel,Wolkig,26.9,10.08
Hannover-Langenhagen,Wolkig,25.9,11.88
Helgoland,Stark Bewölkt,19.0,13.68
Kiel-Holtenau,Wolkenlos,23.9,14.04
List auf Sylt,Wolkenlos,23.1,25.2
Marnitz,Bedeckt,26.5,7.2
Norderney,Stark Bewölkt,17.6,20.52
Rostock-Warnemünde,Wolkenlos,20.1,9.72
Schleswig,Bedeckt,26.2,10.8
Schwerin,Bedeckt,26.0,9.72
Westermarkelsdorf,Wolkenlos,22.4,6.48
Angermünde,Stark Bewölkt,27.9,9.0
Berlin-Tegel,Wolkig,27.9,10.08
Brocken,Starker Regen,13.7,15.48
Cottbus,Stark Bewölkt,28.5,10.08
Dresden-Klotzsche,Stark Bewölkt,25.7,14.04
Erfurt-Bindersleben,Wolkig,23.6,11.52
Fichtelberg,Bedeckt,16.9,19.44
Gera-Leumnitz,Stark Bewölkt,24.4,15.12
Görlitz,Leicht Bewölkt,25.5,12.24
Leipzig-Schkeuditz,Stark Bewölkt,26.2,4.32
Lindenberg,Wolkig,27.0,8.279999
Magdeburg,Stark Bewölkt,27.4,10.44
Meiningen,Stark Bewölkt,21.5,23.76
Neuruppin-Alt Ruppin,Wolkig,27.1,10.44
Potsdam,Stark Bewölkt,27.8,10.44
Augsburg-Mühlhausen,Stark Bewölkt,19.8,14.4
Bamberg,Stark Bewölkt,23.6,10.8
Feldberg/Schwarzwald,Niederschlag,6.8,42.48
Freudenstadt,Regen,12.6,16.92
Fürstenzell,Bedeckt,22.0,5.4
Grosser Arber,Bedeckt,15.9,11.88
Hof Hohensaas,Regen,21.4,7.92
Hohenpeissenberg,Leichter Sprühregen,15.9,7.92
Kempten,Sprühregen,12.1,7.92
Konstanz,Regen,15.6,19.44
Lahr,Leichter Regen,16.0,14.04
Mannheim,Leichter Sprühregen,18.7,8.279999
München-Flughafen,Stark Bewölkt,21.5,8.279999
Nürnberg-Flughafen,Niederschlag,21.6,16.56
Oberstdorf,Leichter Sprühregen,13.2,13.68
Oehringen,Stark Bewölkt,24.4,10.44
Regensburg,Bedeckt,22.5,8.64
Rheinstetten,Stark Bewölkt,22.7,9.72
Straubing,Bedeckt,23.4,14.76
Stuttgart-Echterdingen,Regenschauer,20.7,11.16
Weiden,Stark Bewölkt,23.9,18.72
Würzburg,Leichter Regen,20.3,12.96
Zugspitze,Nebel,3.5,9.36
Aachen,Stark Bewölkt,22.1,15.12
Bad Lippspringe,Regen,20.9,11.16
Düsseldorf-Flughafen,Regenschauer,24.2,6.48
Frankfurt/M.-Flughafen,Regenschauer,24.2,11.16
Fritzlar,Stark Bewölkt,23.6,7.2
Gießen Wettenberg,Bedeckt,22.2,15.84
Hahn-Flughafen,Trocken,20.5,9.0
Kahler Asten,Bedeckt,17.3,11.88
Köln-Wahn,Regenschauer,23.7,7.92
Münster/Osnabrück-Flughafen,Stark Bewölkt,24.9,7.92
Nürburg-Barweiler,Stark Bewölkt,19.6,10.8
Offenbach/Wetterpark,Bedeckt,23.9,10.44
Saarbrücken/Ensheim,Niederschlag,19.2,10.44
Trier-Petrisberg,Bedeckt,18.6,10.08
Wasserkuppe,Bedeckt,18.3,11.88
