Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,16.1,16.56
Bremen-Flughafen,Niederschlag,15.7,14.04
Cuxhaven,Leichter Regen,16.2,8.279999
Emden-Flughafen,Leichter Regen,12.1,25.2
Greifswald,Bedeckt,22.5,19.08
Hamburg-Fuhlsbüttel,Leichter Regen,16.1,24.84
Hannover-Langenhagen,Niederschlag,14.3,4.32
Helgoland,Leichter Sprühregen,13.6,16.2
Kiel-Holtenau,Bedeckt,18.5,14.4
List auf Sylt,Stark Bewölkt,14.7,8.279999
Marnitz,Stark Bewölkt,22.0,13.32
Norderney,Regen,12.0,43.56
Rostock-Warnemünde,Bedeckt,20.1,14.76
Schleswig,Bedeckt,16.4,12.24
Schwerin,Bedeckt,21.5,10.8
Westermarkelsdorf,Bedeckt,15.5,24.12
Angermünde,Bedeckt,23.2,21.96
Berlin-Tegel,Stark Bewölkt,24.5,24.12
Brocken,Sprühregen,9.2,26.64
Cottbus,Bedeckt,23.8,14.04
Dresden-Klotzsche,Leichter Regen,20.6,21.6
Erfurt-Bindersleben,Niederschlag,16.3,12.96
Fichtelberg,Leichter Regen,9.4,21.6
Gera-Leumnitz,Leichter Regen,15.9,16.2
Görlitz,Stark Bewölkt,22.8,9.72
Leipzig-Schkeuditz,Leichter Regen,17.7,18.36
Lindenberg,Bedeckt,22.9,12.96
Magdeburg,Leichter Regen,20.2,11.88
Meiningen,Stark Bewölkt,14.2,11.52
Neuruppin-Alt Ruppin,Stark Bewölkt,22.8,15.48
Potsdam,Bedeckt,24.1,15.48
Augsburg-Mühlhausen,Leichter Regen,18.0,15.12
Bamberg,Sprühregen,16.0,11.88
Feldberg/Schwarzwald,Regen,7.2,36.36
Freudenstadt,Bedeckt,14.0,13.32
Fürstenzell,-,13.8,1.8
Grosser Arber,Niederschlag,10.0,7.92
Hof Hohensaas,Bedeckt,15.4,9.72
Hohenpeissenberg,Sprühregen,13.3,11.52
Kempten,Leichter Regen,14.3,10.08
Konstanz,Leichter Regen,15.8,9.36
Lahr,Leichter Regen,16.3,6.12
Mannheim,Leichter Regen,16.6,14.04
München-Flughafen,Stark Bewölkt,18.7,14.04
Nürnberg-Flughafen,Niederschlag,17.5,11.88
Oberstdorf,Regen,13.9,10.8
Oehringen,Regen,16.2,16.56
Regensburg,Bedeckt,18.7,7.2
Rheinstetten,Regen,14.5,17.64
Straubing,Bedeckt,19.2,6.12
Stuttgart-Echterdingen,Regen,19.0,13.68
Weiden,Sprühregen,15.5,6.48
Würzburg,Leichter Regen,16.5,15.12
Zugspitze,Nebel,1.3,26.64
Aachen,Leichter Regen,11.8,17.64
Bad Lippspringe,Regen,15.3,5.4
Düsseldorf-Flughafen,Niederschlag,14.8,15.12
Frankfurt/M.-Flughafen,Niederschlag,15.6,10.8
Fritzlar,Sprühregen,13.8,7.2
Gießen Wettenberg,Bedeckt,15.3,5.4
Hahn-Flughafen,Leichter Regen,12.8,10.44
Kahler Asten,Regen,11.4,11.52
Köln-Wahn,Niederschlag,14.3,13.32
Münster/Osnabrück-Flughafen,Regen,13.9,14.76
Nürburg-Barweiler,Regen,12.6,8.279999
Offenbach/Wetterpark,Leichter Regen,14.6,8.279999
Saarbrücken/Ensheim,Regenschauer,15.8,12.96
Trier-Petrisberg,Sprühregen,14.2,6.48
Wasserkuppe,Leichter Regen,11.0,19.08
