Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Sprühregen,9.4,41.76
Bremen-Flughafen,Leichter Regenschauer,6.9,19.08
Cuxhaven,Regen,9.9,34.2
Emden-Flughafen,Bedeckt,9.9,25.2
Greifswald,Regenschauer,10.4,19.44
Hamburg-Fuhlsbüttel,Regenschauer,8.8,21.6
Hannover-Langenhagen,Stark Bewölkt,9.8,15.84
Helgoland,Stark Bewölkt,9.6,33.84
Kiel-Holtenau,Regen,8.8,26.28
List auf Sylt,Regen,7.7,30.6
Marnitz,Regen,11.8,18.0
Norderney,Wolkig,10.7,37.44
Rostock-Warnemünde,Leichter Regen,10.1,18.72
Schleswig,Regen,11.3,22.68
Schwerin,Regen,9.5,23.04
Westermarkelsdorf,Regen,10.1,30.96
Angermünde,Leichter Regen,8.2,26.28
Berlin-Tegel,Regenschauer,9.1,25.92
Brocken,Schnee,-0.7,23.04
Cottbus,Stark Bewölkt,10.1,12.96
Dresden-Klotzsche,Wolkig,10.0,17.64
Erfurt-Bindersleben,Wolkig,8.7,12.6
Fichtelberg,Stark Bewölkt,0.5,14.76
Gera-Leumnitz,Wolkig,9.0,13.68
Görlitz,Stark Bewölkt,9.9,16.2
Leipzig-Schkeuditz,Stark Bewölkt,8.2,11.52
Lindenberg,Regen,9.1,19.08
Magdeburg,Stark Bewölkt,9.6,18.0
Meiningen,Bedeckt,8.5,7.56
Neuruppin-Alt Ruppin,Bedeckt,9.8,15.48
Potsdam,Regenschauer,8.9,20.88
Augsburg-Mühlhausen,Leicht Bewölkt,10.5,9.36
Bamberg,Wolkenlos,11.6,8.279999
Feldberg/Schwarzwald,Stark Bewölkt,0.7,12.6
Freudenstadt,Bedeckt,7.3,10.8
Fürstenzell,Stark Bewölkt,8.5,7.56
Grosser Arber,Wolkig,2.9,7.92
Hof Hohensaas,Wolkig,7.4,7.92
Hohenpeissenberg,Stark Bewölkt,5.3,6.12
Kempten,Bedeckt,7.8,3.6
Konstanz,Wolkig,11.7,10.44
Lahr,Bedeckt,13.0,14.76
Mannheim,Leicht Bewölkt,12.8,11.16
München-Flughafen,Wolkig,8.7,6.12
Nürnberg-Flughafen,Leicht Bewölkt,10.6,8.64
Oberstdorf,Bedeckt,7.0,4.32
Oehringen,Wolkig,12.0,6.12
Regensburg,Wolkenlos,12.6,5.4
Rheinstetten,Wolkenlos,12.2,15.84
Straubing,Wolkenlos,11.1,11.16
Stuttgart-Echterdingen,Wolkig,10.9,8.64
Weiden,Wolkenlos,10.0,7.56
Würzburg,Wolkenlos,11.0,14.04
Zugspitze,Stark Bewölkt,-4.1,39.6
Aachen,Wolkig,10.4,8.64
Bad Lippspringe,Bedeckt,9.6,15.48
Düsseldorf-Flughafen,Stark Bewölkt,11.6,10.08
Frankfurt/M.-Flughafen,Leicht Bewölkt,11.6,8.279999
Fritzlar,Stark Bewölkt,9.3,7.2
Gießen Wettenberg,Wolkig,11.0,5.4
Hahn-Flughafen,Trocken,9.5,9.72
Kahler Asten,Bedeckt,3.3,14.4
Köln-Wahn,Wolkig,11.8,7.92
Münster/Osnabrück-Flughafen,Wolkig,11.5,15.84
Nürburg-Barweiler,Stark Bewölkt,9.3,12.24
Offenbach/Wetterpark,Leicht Bewölkt,12.8,6.84
Saarbrücken/Ensheim,Stark Bewölkt,11.8,11.52
Trier-Petrisberg,Stark Bewölkt,13.2,7.56
Wasserkuppe,Bedeckt,3.6,8.279999
