Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,23.6,25.92
Bremen-Flughafen,Stark Bewölkt,26.2,28.08
Cuxhaven,Stark Bewölkt,24.2,25.56
Emden-Flughafen,Wolkenlos,25.0,17.28
Greifswald,Leicht Bewölkt,24.6,14.76
Hamburg-Fuhlsbüttel,Wolkig,25.6,27.0
Hannover-Langenhagen,Wolkig,26.2,11.16
Helgoland,Bedeckt,20.5,19.08
Kiel-Holtenau,Stark Bewölkt,24.8,27.0
List auf Sylt,Stark Bewölkt,19.9,37.8
Marnitz,Wolkenlos,23.9,14.4
Norderney,Wolkenlos,22.7,18.72
Rostock-Warnemünde,Wolkenlos,25.3,20.52
Schleswig,Bedeckt,24.2,16.92
Schwerin,Wolkenlos,24.9,16.92
Westermarkelsdorf,Leicht Bewölkt,24.9,19.44
Angermünde,Leicht Bewölkt,24.9,12.6
Berlin-Tegel,Wolkig,25.9,9.72
Brocken,Wolkig,16.7,23.4
Cottbus,Stark Bewölkt,25.4,7.56
Dresden-Klotzsche,Wolkig,23.3,8.279999
Erfurt-Bindersleben,Stark Bewölkt,25.1,6.48
Fichtelberg,Stark Bewölkt,16.7,12.24
Gera-Leumnitz,Stark Bewölkt,24.5,9.0
Görlitz,Leicht Bewölkt,22.5,5.76
Leipzig-Schkeuditz,Wolkig,25.5,9.72
Lindenberg,Wolkig,24.5,12.24
Magdeburg,Wolkenlos,25.8,7.56
Meiningen,Stark Bewölkt,22.7,12.6
Neuruppin-Alt Ruppin,Wolkenlos,25.3,9.72
Potsdam,Wolkig,25.4,14.04
Augsburg-Mühlhausen,Wolkig,19.1,12.6
Bamberg,Wolkig,23.2,6.48
Feldberg/Schwarzwald,Leicht Bewölkt,12.2,22.32
Freudenstadt,Leicht Bewölkt,18.7,14.4
Fürstenzell,Stark Bewölkt,18.9,9.0
Grosser Arber,Bedeckt,10.9,8.64
Hof Hohensaas,Stark Bewölkt,20.7,3.96
Hohenpeissenberg,Leicht Bewölkt,15.3,16.92
Kempten,Wolkenlos,18.3,12.96
Konstanz,Wolkenlos,22.5,12.6
Lahr,Wolkenlos,24.2,12.24
Mannheim,Wolkenlos,25.3,10.44
München-Flughafen,Wolkig,19.3,11.16
Nürnberg-Flughafen,Wolkig,23.3,6.48
Oberstdorf,Leicht Bewölkt,18.7,12.6
Oehringen,Leicht Bewölkt,23.7,10.8
Regensburg,Wolkig,21.5,5.04
Rheinstetten,Wolkenlos,26.1,14.4
Straubing,Wolkenlos,20.9,4.68
Stuttgart-Echterdingen,Leicht Bewölkt,22.9,12.96
Weiden,Wolkig,20.5,4.32
Würzburg,Leicht Bewölkt,25.2,11.16
Zugspitze,Wolkenlos,3.9,18.72
Aachen,Wolkenlos,25.0,15.12
Bad Lippspringe,Bedeckt,26.6,7.56
Düsseldorf-Flughafen,Wolkenlos,26.6,15.12
Frankfurt/M.-Flughafen,Leicht Bewölkt,25.5,14.4
Fritzlar,Leicht Bewölkt,25.1,21.6
Gießen Wettenberg,Wolkenlos,25.5,10.8
Hahn-Flughafen,Trocken,24.5,10.44
Kahler Asten,Wolkenlos,20.8,15.84
Köln-Wahn,Leicht Bewölkt,27.7,7.56
Münster/Osnabrück-Flughafen,Leicht Bewölkt,25.9,21.6
Nürburg-Barweiler,Wolkenlos,23.7,12.6
Offenbach/Wetterpark,Wolkig,25.6,10.44
Saarbrücken/Ensheim,Leicht Bewölkt,24.4,12.6
Trier-Petrisberg,Wolkenlos,25.8,12.24
Wasserkuppe,Wolkig,20.0,9.0
