Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,14.8,45.72
Bremen-Flughafen,Stark Bewölkt,20.7,19.44
Cuxhaven,Bedeckt,19.9,25.92
Emden-Flughafen,Bedeckt,18.6,25.56
Greifswald,Leicht Bewölkt,16.2,29.88
Hamburg-Fuhlsbüttel,Stark Bewölkt,19.7,25.2
Hannover-Langenhagen,Wolkig,20.6,14.4
Helgoland,Bedeckt,15.8,18.0
Kiel-Holtenau,Bedeckt,19.3,29.52
List auf Sylt,Bedeckt,19.9,27.36
Marnitz,Wolkenlos,21.5,18.36
Norderney,Bedeckt,16.1,32.76
Rostock-Warnemünde,Leicht Bewölkt,17.6,34.2
Schleswig,Bedeckt,19.0,20.52
Schwerin,Stark Bewölkt,20.4,18.72
Westermarkelsdorf,Bedeckt,18.4,34.92
Angermünde,Wolkenlos,19.9,28.44
Berlin-Tegel,Stark Bewölkt,22.4,18.0
Brocken,Stark Bewölkt,8.3,29.52
Cottbus,Stark Bewölkt,22.2,15.12
Dresden-Klotzsche,Stark Bewölkt,17.1,16.92
Erfurt-Bindersleben,Stark Bewölkt,16.3,14.4
Fichtelberg,Leichter Regen,4.9,30.96
Gera-Leumnitz,Bedeckt,16.3,13.68
Görlitz,Wolkig,19.0,18.72
Leipzig-Schkeuditz,Bedeckt,19.1,12.24
Lindenberg,Wolkenlos,22.3,15.48
Magdeburg,Leicht Bewölkt,21.2,15.12
Meiningen,Wolkig,15.3,15.12
Neuruppin-Alt Ruppin,Wolkig,22.4,15.48
Potsdam,Wolkig,23.0,17.28
Augsburg-Mühlhausen,Bedeckt,17.5,13.68
Bamberg,Bedeckt,18.0,11.88
Feldberg/Schwarzwald,Stark Bewölkt,9.6,20.52
Freudenstadt,Stark Bewölkt,15.6,17.28
Fürstenzell,Leichter Regen,13.1,11.16
Grosser Arber,Nebel,3.3,34.56
Hof Hohensaas,Regen,13.3,15.12
Hohenpeissenberg,Wolkig,12.7,11.16
Kempten,Bedeckt,16.2,7.56
Konstanz,Bedeckt,20.9,12.96
Lahr,Wolkenlos,21.5,22.32
Mannheim,Wolkig,20.5,12.6
München-Flughafen,Stark Bewölkt,16.0,12.96
Nürnberg-Flughafen,Stark Bewölkt,17.3,16.2
Oberstdorf,Wolkig,17.3,18.0
Oehringen,Bedeckt,20.1,12.24
Regensburg,Bedeckt,18.5,13.32
Rheinstetten,Wolkenlos,21.3,16.56
Straubing,Regen,15.9,10.08
Stuttgart-Echterdingen,Stark Bewölkt,19.1,10.8
Weiden,Leichter Regen,14.0,15.12
Würzburg,Stark Bewölkt,19.6,15.84
Zugspitze,Gefrierender Nebel,-3.3,5.76
Aachen,Wolkenlos,19.3,21.96
Bad Lippspringe,Stark Bewölkt,19.5,17.28
Düsseldorf-Flughafen,Stark Bewölkt,20.6,25.2
Frankfurt/M.-Flughafen,Stark Bewölkt,20.2,17.64
Fritzlar,Wolkig,17.4,10.8
Gießen Wettenberg,Wolkig,19.0,21.6
Hahn-Flughafen,Trocken,16.8,16.92
Kahler Asten,Wolkig,12.6,21.6
Köln-Wahn,Wolkig,22.8,10.8
Münster/Osnabrück-Flughafen,Stark Bewölkt,19.4,16.56
Nürburg-Barweiler,Leicht Bewölkt,17.7,16.92
Offenbach/Wetterpark,Bedeckt,19.2,16.56
Saarbrücken/Ensheim,Wolkig,18.7,14.04
Trier-Petrisberg,Leicht Bewölkt,20.8,18.72
Wasserkuppe,Wolkig,11.9,20.16
