Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,9.6,46.8
Bremen-Flughafen,Stark Bewölkt,12.7,16.56
Cuxhaven,Wolkenlos,10.8,24.84
Emden-Flughafen,Wolkenlos,13.1,14.76
Greifswald,Stark Bewölkt,10.4,36.36
Hamburg-Fuhlsbüttel,Wolkig,12.7,26.64
Hannover-Langenhagen,Stark Bewölkt,11.7,18.72
Helgoland,Wolkenlos,9.0,23.4
Kiel-Holtenau,Wolkig,12.3,39.96
List auf Sylt,Wolkenlos,9.4,34.56
Marnitz,Stark Bewölkt,10.9,20.88
Norderney,Wolkenlos,10.3,23.04
Rostock-Warnemünde,Wolkenlos,11.2,27.72
Schleswig,Wolkenlos,13.3,21.24
Schwerin,Wolkenlos,12.4,26.64
Westermarkelsdorf,Wolkenlos,10.0,42.12
Angermünde,Stark Bewölkt,10.6,25.56
Berlin-Tegel,Stark Bewölkt,11.1,30.6
Brocken,Stark Bewölkt,8.2,19.08
Cottbus,Bedeckt,11.9,23.4
Dresden-Klotzsche,Leicht Bewölkt,11.4,28.8
Erfurt-Bindersleben,Stark Bewölkt,11.7,18.36
Fichtelberg,Stark Bewölkt,6.2,31.68
Gera-Leumnitz,Stark Bewölkt,11.1,13.68
Görlitz,Wolkig,10.4,25.92
Leipzig-Schkeuditz,Wolkig,11.9,23.76
Lindenberg,Wolkenlos,10.7,26.28
Magdeburg,Wolkig,12.1,18.0
Meiningen,Bedeckt,10.9,10.8
Neuruppin-Alt Ruppin,Stark Bewölkt,12.4,15.12
Potsdam,Stark Bewölkt,11.9,25.56
Augsburg-Mühlhausen,Stark Bewölkt,12.1,6.84
Bamberg,Wolkenlos,12.2,5.4
Feldberg/Schwarzwald,Wolkenlos,10.0,15.12
Freudenstadt,Bedeckt,11.4,10.8
Fürstenzell,Wolkenlos,10.2,6.48
Grosser Arber,Niederschlag,5.1,9.36
Hof Hohensaas,Stark Bewölkt,10.3,10.08
Hohenpeissenberg,Bedeckt,9.6,10.44
Kempten,Bedeckt,13.7,8.64
Konstanz,Bedeckt,13.5,8.64
Lahr,Bedeckt,14.2,18.72
Mannheim,Stark Bewölkt,14.4,7.2
München-Flughafen,Stark Bewölkt,11.5,8.64
Nürnberg-Flughafen,Stark Bewölkt,11.5,3.96
Oberstdorf,Wolkig,13.9,9.36
Oehringen,Stark Bewölkt,14.2,8.64
Regensburg,Bedeckt,12.4,4.32
Rheinstetten,Bedeckt,14.7,15.48
Straubing,Wolkig,11.1,3.96
Stuttgart-Echterdingen,Niederschlag,12.9,6.48
Weiden,Wolkig,10.5,7.2
Würzburg,Stark Bewölkt,11.9,6.84
Zugspitze,Stark Bewölkt,0.8,2.16
Aachen,Stark Bewölkt,13.2,12.24
Bad Lippspringe,Stark Bewölkt,12.4,8.279999
Düsseldorf-Flughafen,Wolkig,13.9,7.56
Frankfurt/M.-Flughafen,Stark Bewölkt,13.5,9.0
Fritzlar,Wolkig,11.7,10.8
Gießen Wettenberg,Wolkenlos,12.7,7.56
Hahn-Flughafen,Trocken,10.4,18.0
Kahler Asten,Wolkenlos,11.8,7.2
Köln-Wahn,Wolkig,14.2,10.08
Münster/Osnabrück-Flughafen,Wolkig,13.1,9.0
Nürburg-Barweiler,Stark Bewölkt,12.8,11.88
Offenbach/Wetterpark,Stark Bewölkt,14.0,6.48
Saarbrücken/Ensheim,Stark Bewölkt,14.2,16.56
Trier-Petrisberg,Bedeckt,14.8,11.52
Wasserkuppe,Stark Bewölkt,10.8,6.48
