Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,16.5,50.4
Bremen-Flughafen,Wolkig,26.1,10.8
Cuxhaven,Wolkenlos,21.5,15.12
Emden-Flughafen,Wolkig,23.6,11.16
Greifswald,Wolkenlos,19.5,29.16
Hamburg-Fuhlsbüttel,Leichter Regen,17.8,10.8
Hannover-Langenhagen,Wolkig,26.9,10.44
Helgoland,Wolkenlos,17.7,17.64
Kiel-Holtenau,Regen,16.4,25.92
List auf Sylt,Stark Bewölkt,20.3,30.96
Marnitz,Bedeckt,21.0,8.64
Norderney,Leicht Bewölkt,20.1,19.08
Rostock-Warnemünde,Stark Bewölkt,18.9,24.84
Schleswig,Regen,16.6,20.16
Schwerin,Regen,19.3,9.0
Westermarkelsdorf,Bedeckt,16.7,23.4
Angermünde,Stark Bewölkt,29.3,16.2
Berlin-Tegel,Leicht Bewölkt,30.7,5.4
Brocken,Bedeckt,18.4,25.56
Cottbus,Stark Bewölkt,31.1,14.04
Dresden-Klotzsche,Bedeckt,29.7,8.279999
Erfurt-Bindersleben,Wolkig,26.5,11.16
Fichtelberg,Wolkenlos,20.5,22.32
Gera-Leumnitz,Wolkenlos,28.1,11.52
Görlitz,Bedeckt,28.0,5.04
Leipzig-Schkeuditz,Leicht Bewölkt,30.2,12.6
Lindenberg,Wolkig,31.1,8.64
Magdeburg,Bedeckt,28.6,13.68
Meiningen,Wolkig,25.3,9.72
Neuruppin-Alt Ruppin,Wolkenlos,29.9,11.52
Potsdam,Wolkig,29.0,5.76
Augsburg-Mühlhausen,Stark Bewölkt,23.0,11.52
Bamberg,Wolkig,27.2,10.44
Feldberg/Schwarzwald,Bedeckt,11.3,21.24
Freudenstadt,Bedeckt,19.0,8.279999
Fürstenzell,-,11.7,7.2
Grosser Arber,Stark Bewölkt,17.1,12.96
Hof Hohensaas,Stark Bewölkt,25.5,8.64
Hohenpeissenberg,Wolkenlos,21.2,7.92
Kempten,Wolkenlos,22.6,11.52
Konstanz,Wolkenlos,24.9,7.2
Lahr,Bedeckt,22.2,6.12
Mannheim,Bedeckt,24.5,10.08
München-Flughafen,Leicht Bewölkt,23.3,12.24
Nürnberg-Flughafen,Niederschlag,26.6,12.6
Oberstdorf,Wolkenlos,23.0,15.12
Oehringen,Stark Bewölkt,23.9,14.04
Regensburg,Wolkenlos,26.7,7.92
Rheinstetten,Stark Bewölkt,22.1,4.68
Straubing,Wolkenlos,24.7,9.72
Stuttgart-Echterdingen,Stark Bewölkt,22.5,10.08
Weiden,Wolkenlos,27.1,7.2
Würzburg,Wolkenlos,26.4,11.52
Zugspitze,Trockener Dunst,4.6,15.12
Aachen,Wolkig,22.5,6.12
Bad Lippspringe,Wolkig,26.5,6.84
Düsseldorf-Flughafen,Niederschlag,23.2,13.32
Frankfurt/M.-Flughafen,Niederschlag,24.4,12.96
Fritzlar,Leicht Bewölkt,25.9,7.2
Gießen Wettenberg,Wolkenlos,25.8,19.44
Hahn-Flughafen,Trocken,18.5,7.2
Kahler Asten,Bedeckt,19.9,12.24
Köln-Wahn,Niederschlag,21.9,12.24
Münster/Osnabrück-Flughafen,Leicht Bewölkt,27.2,3.96
Nürburg-Barweiler,Bedeckt,20.1,7.92
Offenbach/Wetterpark,Bedeckt,24.6,11.16
Saarbrücken/Ensheim,Niederschlag,23.7,10.8
Trier-Petrisberg,Bedeckt,23.3,11.52
Wasserkuppe,Stark Bewölkt,21.2,7.92
