Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,5.0,21.96
Bremen-Flughafen,Stark Bewölkt,5.8,28.08
Cuxhaven,Stark Bewölkt,6.0,38.16
Emden-Flughafen,Wolkig,6.0,29.52
Greifswald,Wolkenlos,5.6,29.16
Hamburg-Fuhlsbüttel,Leicht Bewölkt,5.4,28.44
Hannover-Langenhagen,Wolkig,6.3,31.68
Helgoland,Leicht Bewölkt,5.3,36.0
Kiel-Holtenau,Wolkenlos,5.7,30.96
List auf Sylt,Wolkenlos,6.5,31.32
Marnitz,Bedeckt,5.2,21.96
Norderney,Stark Bewölkt,6.0,27.36
Rostock-Warnemünde,Wolkenlos,5.9,28.44
Schleswig,Wolkenlos,5.1,27.0
Schwerin,Leicht Bewölkt,5.4,24.84
Westermarkelsdorf,Wolkenlos,5.5,27.36
Angermünde,Stark Bewölkt,6.7,24.48
Berlin-Tegel,Stark Bewölkt,6.6,22.68
Brocken,Stark Bewölkt,-5.6,48.96
Cottbus,Wolkig,4.8,13.68
Dresden-Klotzsche,Bedeckt,3.3,29.16
Erfurt-Bindersleben,Stark Bewölkt,5.2,29.16
Fichtelberg,Gefrierender Nebel,-3.6,20.52
Gera-Leumnitz,-,15.7,20.16
Görlitz,Stark Bewölkt,3.7,25.56
Leipzig-Schkeuditz,Stark Bewölkt,4.5,25.56
Lindenberg,Stark Bewölkt,6.0,14.76
Magdeburg,Bedeckt,5.8,14.4
Meiningen,Bedeckt,2.6,25.92
Neuruppin-Alt Ruppin,Stark Bewölkt,5.8,14.04
Potsdam,Stark Bewölkt,6.4,18.72
Augsburg-Mühlhausen,Leichter Regen,2.8,22.32
Bamberg,Bedeckt,6.2,19.8
Feldberg/Schwarzwald,Nebel,2.2,8.279999
Freudenstadt,Eiskörner,0.1,18.0
Fürstenzell,Regen,1.4,11.16
Grosser Arber,Schneefall,-4.5,30.96
Hof Hohensaas,Stark Bewölkt,1.6,23.04
Hohenpeissenberg,Nebel,1.0,16.2
Kempten,Bedeckt,3.9,8.279999
Konstanz,Sprühregen,7.5,11.16
Lahr,Leichter Regen,4.5,20.88
Mannheim,Sprühregen,6.1,10.08
München-Flughafen,Leichter Regen,3.7,19.44
Nürnberg-Flughafen,Bedeckt,5.4,18.72
Oberstdorf,Bedeckt,6.3,11.52
Oehringen,Leichter Regen,4.6,23.4
Regensburg,Leichter Sprühregen,4.0,19.8
Rheinstetten,Leichter Regen,4.3,19.08
Straubing,Sprühregen,5.0,12.6
Stuttgart-Echterdingen,Niederschlag,2.6,16.56
Weiden,Sprühregen,4.5,25.2
Würzburg,Leichter Sprühregen,5.8,27.36
Zugspitze,Feuchter Dunst,-4.2,9.72
Aachen,Bedeckt,6.3,30.6
Bad Lippspringe,Stark Bewölkt,6.3,30.6
Düsseldorf-Flughafen,Leicht Bewölkt,8.7,26.64
Frankfurt/M.-Flughafen,Regen,7.7,34.2
Fritzlar,-,6.2,25.2
Gießen Wettenberg,Stark Bewölkt,6.1,35.28
Hahn-Flughafen,Leichter Sprühregen,2.8,24.48
Kahler Asten,Stark Bewölkt,0.1,26.64
Köln-Wahn,Wolkig,9.4,33.12
Münster/Osnabrück-Flughafen,Wolkig,6.1,15.84
Nürburg-Barweiler,Bedeckt,3.6,18.36
Offenbach/Wetterpark,Stark Bewölkt,7.4,20.16
Saarbrücken/Ensheim,Leichter Regen,4.8,26.28
Trier-Petrisberg,Regen,6.2,21.6
Wasserkuppe,Bedeckt,-1.7,29.88
