Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,12.0,59.4
Bremen-Flughafen,Stark Bewölkt,15.3,18.0
Cuxhaven,Bedeckt,15.4,22.32
Emden-Flughafen,Stark Bewölkt,14.9,20.16
Greifswald,Stark Bewölkt,14.5,25.92
Hamburg-Fuhlsbüttel,Stark Bewölkt,13.4,23.04
Hannover-Langenhagen,Stark Bewölkt,15.2,23.04
Helgoland,Wolkig,11.8,22.32
Kiel-Holtenau,Sprühregen,11.1,32.4
List auf Sylt,Bedeckt,12.1,31.68
Marnitz,Bedeckt,14.9,18.36
Norderney,Bedeckt,14.2,19.08
Rostock-Warnemünde,Bedeckt,13.9,37.8
Schleswig,Bedeckt,14.0,23.4
Schwerin,Bedeckt,13.1,26.64
Westermarkelsdorf,Bedeckt,11.6,42.84
Angermünde,Stark Bewölkt,15.3,22.68
Berlin-Tegel,Wolkig,14.1,23.4
Brocken,Stark Bewölkt,5.3,29.16
Cottbus,Wolkig,14.1,13.68
Dresden-Klotzsche,Leicht Bewölkt,13.7,15.84
Erfurt-Bindersleben,Leicht Bewölkt,14.2,12.6
Fichtelberg,Wolkig,9.0,9.72
Gera-Leumnitz,Wolkenlos,14.4,11.52
Görlitz,Leicht Bewölkt,13.5,15.12
Leipzig-Schkeuditz,Wolkig,14.6,17.28
Lindenberg,Bedeckt,13.3,18.72
Magdeburg,Bedeckt,14.3,15.84
Meiningen,Wolkenlos,14.1,12.24
Neuruppin-Alt Ruppin,Wolkig,15.6,16.56
Potsdam,Stark Bewölkt,14.1,21.96
Augsburg-Mühlhausen,Stark Bewölkt,15.6,11.88
Bamberg,Wolkenlos,16.9,8.279999
Feldberg/Schwarzwald,Wolkig,8.2,13.68
Freudenstadt,Wolkenlos,13.7,10.08
Fürstenzell,Stark Bewölkt,14.3,5.76
Grosser Arber,Bedeckt,6.8,7.56
Hof Hohensaas,Trocken,13.9,0.72
Hohenpeissenberg,Bedeckt,10.0,9.36
Kempten,Stark Bewölkt,13.8,7.56
Konstanz,Bedeckt,15.7,5.4
Lahr,Wolkenlos,17.3,16.92
Mannheim,Wolkenlos,17.9,12.6
München-Flughafen,Wolkig,14.6,13.32
Nürnberg-Flughafen,Leicht Bewölkt,16.8,4.68
Oberstdorf,Leichter Sprühregen,11.4,3.96
Oehringen,Wolkenlos,17.9,6.12
Regensburg,Wolkenlos,16.7,6.12
Rheinstetten,Wolkenlos,17.6,10.44
Straubing,Leicht Bewölkt,15.5,7.2
Stuttgart-Echterdingen,Leicht Bewölkt,16.1,8.279999
Weiden,Wolkenlos,16.0,6.48
Würzburg,Wolkenlos,17.2,7.92
Zugspitze,Leichter Schneefall,-1.4,19.8
Aachen,Wolkig,14.6,8.64
Bad Lippspringe,Bedeckt,14.0,15.12
Düsseldorf-Flughafen,Wolkig,15.8,12.6
Frankfurt/M.-Flughafen,Leicht Bewölkt,16.5,6.84
Fritzlar,Wolkig,14.2,3.6
Gießen Wettenberg,Wolkenlos,15.8,9.0
Hahn-Flughafen,Trocken,13.5,7.92
Kahler Asten,Leicht Bewölkt,10.8,16.56
Köln-Wahn,Leicht Bewölkt,17.4,9.36
Münster/Osnabrück-Flughafen,Stark Bewölkt,16.2,16.56
Nürburg-Barweiler,Wolkenlos,14.4,3.96
Offenbach/Wetterpark,Wolkenlos,16.3,5.76
Saarbrücken/Ensheim,Leicht Bewölkt,16.7,6.48
Trier-Petrisberg,Wolkenlos,16.8,9.0
Wasserkuppe,Wolkenlos,11.0,9.0
