Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,9.2,24.12
Bremen-Flughafen,Wolkenlos,15.8,31.32
Cuxhaven,Wolkenlos,13.2,41.76
Emden-Flughafen,Wolkenlos,15.4,34.92
Greifswald,Wolkenlos,11.7,31.32
Hamburg-Fuhlsbüttel,Wolkenlos,14.9,30.96
Hannover-Langenhagen,Wolkenlos,14.5,41.04
Helgoland,Wolkenlos,12.2,22.32
Kiel-Holtenau,Wolkenlos,12.6,38.16
List auf Sylt,Wolkenlos,14.2,34.92
Marnitz,Wolkenlos,14.6,23.4
Norderney,Wolkenlos,12.2,42.84
Rostock-Warnemünde,Wolkenlos,14.6,24.48
Schleswig,Wolkenlos,12.9,31.68
Schwerin,Wolkenlos,14.5,21.24
Westermarkelsdorf,Wolkenlos,11.8,34.92
Angermünde,Wolkenlos,15.4,26.64
Berlin-Tegel,Wolkenlos,15.3,22.68
Brocken,Wolkenlos,4.9,48.6
Cottbus,Wolkenlos,15.0,21.6
Dresden-Klotzsche,Wolkenlos,15.1,34.2
Erfurt-Bindersleben,Wolkenlos,13.9,23.04
Fichtelberg,Trockener Dunst,6.9,56.52
Gera-Leumnitz,Wolkenlos,14.9,26.28
Görlitz,Wolkenlos,13.6,29.16
Leipzig-Schkeuditz,Wolkenlos,14.8,31.32
Lindenberg,Wolkenlos,15.0,15.12
Magdeburg,Wolkenlos,15.8,19.44
Meiningen,Wolkenlos,14.8,27.72
Neuruppin-Alt Ruppin,Wolkenlos,15.2,17.28
Potsdam,Wolkenlos,15.6,19.8
Augsburg-Mühlhausen,Stark Bewölkt,17.0,33.48
Bamberg,Wolkenlos,18.3,27.72
Feldberg/Schwarzwald,Leicht Bewölkt,7.3,41.4
Freudenstadt,Stark Bewölkt,12.6,22.68
Fürstenzell,Wolkenlos,16.0,37.8
Grosser Arber,Wolkenlos,6.8,19.8
Hof Hohensaas,Wolkenlos,14.1,23.76
Hohenpeissenberg,Stark Bewölkt,12.5,16.92
Kempten,Wolkig,14.9,14.76
Konstanz,Bedeckt,17.5,16.2
Lahr,Bedeckt,19.0,14.04
Mannheim,Leicht Bewölkt,19.7,20.52
München-Flughafen,Wolkig,17.4,38.16
Nürnberg-Flughafen,Leicht Bewölkt,17.8,25.56
Oberstdorf,Wolkig,12.0,3.96
Oehringen,Wolkenlos,19.6,27.36
Regensburg,Wolkenlos,18.4,23.4
Rheinstetten,Wolkenlos,18.4,31.68
Straubing,Wolkenlos,17.9,31.68
Stuttgart-Echterdingen,Stark Bewölkt,17.2,22.32
Weiden,Wolkenlos,14.4,21.96
Würzburg,Wolkenlos,19.1,41.76
Zugspitze,Stark Bewölkt,1.1,27.0
Aachen,Wolkenlos,16.9,43.2
Bad Lippspringe,Wolkenlos,15.7,33.84
Düsseldorf-Flughafen,Wolkenlos,18.6,29.88
Frankfurt/M.-Flughafen,Leicht Bewölkt,19.6,41.4
Fritzlar,-,15.5,28.8
Gießen Wettenberg,Wolkenlos,16.2,36.0
Hahn-Flughafen,Trocken,15.1,33.84
Kahler Asten,Wolkenlos,10.7,28.44
Köln-Wahn,Leicht Bewölkt,19.2,36.36
Münster/Osnabrück-Flughafen,Wolkenlos,15.7,23.4
Nürburg-Barweiler,Wolkenlos,14.9,25.56
Offenbach/Wetterpark,Wolkenlos,19.3,19.8
Saarbrücken/Ensheim,Stark Bewölkt,16.5,27.72
Trier-Petrisberg,Stark Bewölkt,18.4,29.16
Wasserkuppe,Wolkenlos,11.9,34.56
