Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,8.9,10.8
Bremen-Flughafen,Stark Bewölkt,12.2,8.64
Cuxhaven,Wolkenlos,8.8,11.88
Emden-Flughafen,Leicht Bewölkt,10.4,9.36
Greifswald,Leicht Bewölkt,10.4,16.92
Hamburg-Fuhlsbüttel,Leicht Bewölkt,11.8,10.44
Hannover-Langenhagen,Leicht Bewölkt,13.8,7.92
Helgoland,Bedeckt,7.8,12.96
Kiel-Holtenau,Wolkenlos,9.4,11.52
List auf Sylt,Wolkenlos,10.7,11.16
Marnitz,Wolkenlos,14.4,8.279999
Norderney,Stark Bewölkt,7.8,16.92
Rostock-Warnemünde,Wolkenlos,10.1,17.28
Schleswig,Wolkenlos,11.0,11.52
Schwerin,Wolkenlos,12.5,7.92
Westermarkelsdorf,Wolkenlos,9.0,8.64
Angermünde,Wolkenlos,13.1,8.64
Berlin-Tegel,Leicht Bewölkt,15.5,7.92
Brocken,Bedeckt,7.6,10.44
Cottbus,Bedeckt,15.0,3.96
Dresden-Klotzsche,Wolkenlos,15.8,10.8
Erfurt-Bindersleben,Leicht Bewölkt,16.4,10.44
Fichtelberg,Stark Bewölkt,13.6,15.12
Gera-Leumnitz,Wolkenlos,16.2,7.2
Görlitz,Bedeckt,15.3,13.68
Leipzig-Schkeuditz,Wolkenlos,16.4,6.12
Lindenberg,Wolkig,14.1,8.279999
Magdeburg,Wolkenlos,14.9,6.84
Meiningen,Wolkenlos,19.4,12.24
Neuruppin-Alt Ruppin,Leicht Bewölkt,15.0,7.2
Potsdam,Leicht Bewölkt,15.2,8.279999
Augsburg-Mühlhausen,Wolkenlos,21.6,10.08
Bamberg,Wolkenlos,22.1,7.56
Feldberg/Schwarzwald,Wolkig,12.9,10.08
Freudenstadt,Leicht Bewölkt,19.6,15.84
Fürstenzell,Wolkenlos,21.0,5.4
Grosser Arber,Wolkenlos,12.9,18.36
Hof Hohensaas,Wolkenlos,18.3,9.36
Hohenpeissenberg,Leicht Bewölkt,21.0,5.04
Kempten,Wolkenlos,20.9,6.48
Konstanz,Wolkenlos,21.8,5.04
Lahr,Wolkig,23.6,10.08
Mannheim,Wolkenlos,22.9,5.4
München-Flughafen,Leicht Bewölkt,22.1,13.32
Nürnberg-Flughafen,Wolkig,22.5,11.88
Oberstdorf,Wolkenlos,20.7,12.24
Oehringen,Leicht Bewölkt,21.7,5.76
Regensburg,Leicht Bewölkt,21.6,7.92
Rheinstetten,Wolkenlos,22.4,9.72
Straubing,Wolkenlos,21.6,5.4
Stuttgart-Echterdingen,Wolkig,21.3,4.68
Weiden,Wolkenlos,21.3,7.56
Würzburg,Wolkenlos,22.8,6.12
Zugspitze,Leicht Bewölkt,2.6,10.08
Aachen,Wolkenlos,17.4,14.4
Bad Lippspringe,Wolkenlos,16.9,6.12
Düsseldorf-Flughafen,Leicht Bewölkt,17.7,13.68
Frankfurt/M.-Flughafen,Leicht Bewölkt,22.6,4.32
Fritzlar,-,17.2,10.8
Gießen Wettenberg,Wolkenlos,20.3,8.279999
Hahn-Flughafen,Trocken,19.5,6.84
Kahler Asten,Bedeckt,15.3,7.2
Köln-Wahn,Niederschlag,21.0,6.84
Münster/Osnabrück-Flughafen,Leicht Bewölkt,14.6,15.84
Nürburg-Barweiler,Leicht Bewölkt,20.4,8.64
Offenbach/Wetterpark,Wolkig,21.5,4.68
Saarbrücken/Ensheim,Leicht Bewölkt,20.5,11.52
Trier-Petrisberg,Wolkenlos,22.1,12.96
Wasserkuppe,Leicht Bewölkt,16.8,12.24
