Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leicht Bewölkt,11.0,35.28
Bremen-Flughafen,Stark Bewölkt,12.5,13.68
Cuxhaven,Wolkig,11.5,18.72
Emden-Flughafen,Stark Bewölkt,12.5,18.0
Greifswald,Wolkig,14.5,21.6
Hamburg-Fuhlsbüttel,Stark Bewölkt,11.3,12.6
Hannover-Langenhagen,Leichter Regenschauer,12.0,12.6
Helgoland,Stark Bewölkt,11.4,15.12
Kiel-Holtenau,-,11.4,16.2
List auf Sylt,Bedeckt,9.6,25.2
Marnitz,Stark Bewölkt,13.3,11.52
Norderney,Stark Bewölkt,11.7,15.84
Rostock-Warnemünde,Wolkenlos,11.6,19.44
Schleswig,Stark Bewölkt,14.3,16.2
Schwerin,Bedeckt,12.1,15.48
Westermarkelsdorf,Wolkenlos,11.5,18.36
Angermünde,Wolkig,13.6,22.68
Berlin-Tegel,Stark Bewölkt,13.3,15.84
Brocken,Bedeckt,4.1,31.68
Cottbus,Bedeckt,12.7,12.6
Dresden-Klotzsche,Stark Bewölkt,12.7,19.08
Erfurt-Bindersleben,Wolkig,12.9,25.2
Fichtelberg,Schnee,3.9,22.68
Gera-Leumnitz,Stark Bewölkt,12.5,16.56
Görlitz,Regen,11.7,15.12
Leipzig-Schkeuditz,Stark Bewölkt,11.7,5.76
Lindenberg,Stark Bewölkt,12.3,13.68
Magdeburg,Bedeckt,13.6,7.2
Meiningen,Regen,11.0,14.04
Neuruppin-Alt Ruppin,Bedeckt,12.2,10.44
Potsdam,Stark Bewölkt,12.1,9.0
Augsburg-Mühlhausen,Stark Bewölkt,13.3,8.279999
Bamberg,Stark Bewölkt,13.9,8.279999
Feldberg/Schwarzwald,Stark Bewölkt,5.6,11.16
Freudenstadt,Bedeckt,11.5,10.44
Fürstenzell,Bedeckt,11.0,12.24
Grosser Arber,Stark Bewölkt,4.1,15.12
Hof Hohensaas,Stark Bewölkt,11.4,15.48
Hohenpeissenberg,Stark Bewölkt,11.2,7.56
Kempten,Stark Bewölkt,13.7,10.08
Konstanz,Bedeckt,14.0,8.64
Lahr,Bedeckt,16.5,9.0
Mannheim,Bedeckt,15.6,8.64
München-Flughafen,Stark Bewölkt,11.7,10.8
Nürnberg-Flughafen,Niederschlag,13.1,10.44
Oberstdorf,Bedeckt,13.6,3.24
Oehringen,Stark Bewölkt,14.1,9.72
Regensburg,Stark Bewölkt,14.9,14.76
Rheinstetten,Bedeckt,16.0,10.08
Straubing,Wolkig,12.9,6.48
Stuttgart-Echterdingen,Stark Bewölkt,14.5,4.68
Weiden,Regen,11.9,9.0
Würzburg,Stark Bewölkt,14.8,11.88
Zugspitze,Nebel,-7.6,7.2
Aachen,Bedeckt,14.4,11.16
Bad Lippspringe,Stark Bewölkt,13.6,20.88
Düsseldorf-Flughafen,Stark Bewölkt,14.9,11.16
Frankfurt/M.-Flughafen,Stark Bewölkt,15.9,15.48
Fritzlar,-,9.5,10.8
Gießen Wettenberg,Bedeckt,14.1,15.12
Hahn-Flughafen,Trocken,12.1,9.0
Kahler Asten,Stark Bewölkt,8.2,17.28
Köln-Wahn,Stark Bewölkt,16.0,12.24
Münster/Osnabrück-Flughafen,Stark Bewölkt,13.4,11.16
Nürburg-Barweiler,Bedeckt,12.0,9.36
Offenbach/Wetterpark,Bedeckt,15.7,9.36
Saarbrücken/Ensheim,Stark Bewölkt,14.0,9.72
Trier-Petrisberg,Bedeckt,14.2,11.16
Wasserkuppe,Stark Bewölkt,7.2,15.48
