Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,6.9,39.24
Bremen-Flughafen,Wolkig,8.4,40.32
Cuxhaven,Wolkig,7.8,39.24
Emden-Flughafen,Stark Bewölkt,7.7,38.52
Greifswald,Stark Bewölkt,4.9,20.88
Hamburg-Fuhlsbüttel,Leicht Bewölkt,8.9,30.96
Hannover-Langenhagen,Stark Bewölkt,7.9,36.36
Helgoland,Leicht Bewölkt,7.5,50.4
Kiel-Holtenau,Wolkenlos,8.0,27.72
List auf Sylt,Wolkenlos,6.9,57.24
Marnitz,Wolkig,8.5,18.0
Norderney,Wolkig,7.0,52.92
Rostock-Warnemünde,Wolkig,7.1,38.88
Schleswig,Wolkenlos,9.4,24.12
Schwerin,Wolkig,7.8,29.52
Westermarkelsdorf,Stark Bewölkt,6.9,41.4
Angermünde,Bedeckt,8.1,26.64
Berlin-Tegel,Wolkig,8.5,24.84
Brocken,Stark Bewölkt,-2.2,46.44
Cottbus,Stark Bewölkt,8.1,19.8
Dresden-Klotzsche,Leichter Regen,5.2,24.12
Erfurt-Bindersleben,Regenschauer,6.2,35.64
Fichtelberg,Schneefall,0.6,40.32
Gera-Leumnitz,Regen,4.3,12.96
Görlitz,Regen,7.3,15.48
Leipzig-Schkeuditz,Bedeckt,7.6,25.56
Lindenberg,Stark Bewölkt,8.6,23.4
Magdeburg,Wolkenlos,9.7,15.12
Meiningen,Bedeckt,5.2,26.28
Neuruppin-Alt Ruppin,Stark Bewölkt,9.0,23.76
Potsdam,Stark Bewölkt,8.2,29.52
Augsburg-Mühlhausen,Wolkig,19.0,19.44
Bamberg,Regen,15.4,25.56
Feldberg/Schwarzwald,Wolkig,8.2,22.32
Freudenstadt,Stark Bewölkt,16.9,18.72
Fürstenzell,Leicht Bewölkt,19.8,23.04
Grosser Arber,Leicht Bewölkt,9.6,32.04
Hof Hohensaas,Sprühregen,6.7,14.76
Hohenpeissenberg,Wolkig,17.4,12.6
Kempten,Wolkenlos,18.0,8.279999
Konstanz,Leicht Bewölkt,20.3,7.2
Lahr,Leicht Bewölkt,20.2,10.08
Mannheim,Stark Bewölkt,16.1,20.88
München-Flughafen,Wolkig,20.1,19.8
Nürnberg-Flughafen,Niederschlag,16.4,34.2
Oberstdorf,Wolkig,17.4,7.2
Oehringen,Bedeckt,17.9,9.36
Regensburg,Wolkig,21.2,15.12
Rheinstetten,Wolkenlos,18.2,29.16
Straubing,Stark Bewölkt,20.7,19.8
Stuttgart-Echterdingen,Leicht Bewölkt,17.8,19.08
Weiden,Wolkig,18.1,19.08
Würzburg,Leichter Regen,12.8,12.6
Zugspitze,Leichter Schneefall,-3.4,10.08
Aachen,Bedeckt,6.8,24.12
Bad Lippspringe,Stark Bewölkt,8.0,26.64
Düsseldorf-Flughafen,Stark Bewölkt,8.9,26.64
Frankfurt/M.-Flughafen,Niederschlag,10.8,23.76
Fritzlar,-,6.9,28.8
Gießen Wettenberg,Bedeckt,7.3,23.76
Hahn-Flughafen,Leichter Regen,7.4,18.72
Kahler Asten,Bedeckt,0.9,31.68
Köln-Wahn,Stark Bewölkt,9.8,24.48
Münster/Osnabrück-Flughafen,Wolkig,8.7,27.72
Nürburg-Barweiler,Leichter Regen,4.8,25.56
Offenbach/Wetterpark,Regen,10.3,19.8
Saarbrücken/Ensheim,Niederschlag,15.8,21.6
Trier-Petrisberg,Stark Bewölkt,13.4,22.68
Wasserkuppe,Nebel,2.2,33.84
