Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,18.4,22.68
Bremen-Flughafen,Leicht Bewölkt,24.1,11.88
Cuxhaven,Wolkenlos,19.9,21.24
Emden-Flughafen,Wolkenlos,23.2,9.0
Greifswald,Wolkenlos,21.0,20.88
Hamburg-Fuhlsbüttel,Wolkig,22.6,6.84
Hannover-Langenhagen,Leicht Bewölkt,24.2,9.0
Helgoland,Wolkenlos,19.5,9.72
Kiel-Holtenau,Wolkenlos,22.2,12.6
List auf Sylt,Wolkenlos,18.8,19.8
Marnitz,Wolkenlos,21.6,11.16
Norderney,Leicht Bewölkt,19.7,13.68
Rostock-Warnemünde,Wolkenlos,18.4,18.36
Schleswig,Wolkenlos,22.4,9.72
Schwerin,Wolkenlos,21.3,9.36
Westermarkelsdorf,Wolkenlos,18.5,12.24
Angermünde,Wolkenlos,22.2,17.64
Berlin-Tegel,Leicht Bewölkt,22.8,17.64
Brocken,-,16.9,16.2
Cottbus,Wolkig,22.8,14.4
Dresden-Klotzsche,Wolkig,21.6,19.8
Erfurt-Bindersleben,Leicht Bewölkt,22.1,7.2
Fichtelberg,Wolkig,15.3,20.52
Gera-Leumnitz,Wolkenlos,22.4,9.0
Görlitz,Leicht Bewölkt,21.3,15.84
Leipzig-Schkeuditz,Leicht Bewölkt,23.8,17.28
Lindenberg,Wolkenlos,21.9,10.8
Magdeburg,Wolkenlos,24.1,11.16
Meiningen,Wolkenlos,22.3,7.2
Neuruppin-Alt Ruppin,Wolkenlos,22.8,12.96
Potsdam,Leicht Bewölkt,24.0,15.48
Augsburg-Mühlhausen,Wolkenlos,23.2,11.88
Bamberg,Wolkenlos,23.9,15.84
Feldberg/Schwarzwald,Wolkig,16.6,11.88
Freudenstadt,Wolkig,20.4,16.2
Fürstenzell,-,15.9,17.64
Grosser Arber,Stark Bewölkt,14.5,12.24
Hof Hohensaas,Wolkenlos,20.4,8.279999
Hohenpeissenberg,Wolkenlos,20.4,12.96
Kempten,Wolkig,22.9,10.8
Konstanz,Wolkenlos,26.6,10.8
Lahr,Wolkenlos,26.4,20.52
Mannheim,Wolkenlos,25.7,10.08
München-Flughafen,Wolkig,22.9,10.8
Nürnberg-Flughafen,Leicht Bewölkt,23.8,10.8
Oberstdorf,Wolkenlos,23.3,14.76
Oehringen,Wolkenlos,25.5,6.84
Regensburg,Wolkenlos,26.4,10.8
Rheinstetten,Wolkenlos,26.2,18.0
Straubing,Wolkenlos,23.4,10.08
Stuttgart-Echterdingen,Wolkig,24.1,11.52
Weiden,Wolkenlos,22.8,7.56
Würzburg,Wolkenlos,24.2,14.76
Zugspitze,Stark Bewölkt,5.5,10.08
Aachen,Wolkenlos,23.5,7.56
Bad Lippspringe,Wolkig,24.1,9.36
Düsseldorf-Flughafen,Leicht Bewölkt,25.1,9.0
Frankfurt/M.-Flughafen,Leicht Bewölkt,25.4,12.6
Fritzlar,Leicht Bewölkt,23.3,7.2
Gießen Wettenberg,Wolkenlos,24.2,12.6
Hahn-Flughafen,Trocken,22.1,9.0
Kahler Asten,Wolkenlos,19.6,12.24
Köln-Wahn,Leicht Bewölkt,25.4,10.08
Münster/Osnabrück-Flughafen,Wolkenlos,24.8,4.68
Nürburg-Barweiler,Wolkenlos,22.5,7.56
Offenbach/Wetterpark,Wolkenlos,25.0,11.88
Saarbrücken/Ensheim,Leicht Bewölkt,24.2,14.4
Trier-Petrisberg,Wolkenlos,26.3,7.56
Wasserkuppe,Wolkenlos,18.5,9.0
