Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,18.6,7.2
Bremen-Flughafen,Niederschlag,16.8,13.32
Cuxhaven,Sprühregen,16.3,16.92
Emden-Flughafen,Sprühregen,15.5,6.84
Greifswald,Stark Bewölkt,25.6,13.68
Hamburg-Fuhlsbüttel,Leichter Regen,17.5,15.84
Hannover-Langenhagen,Stark Bewölkt,22.3,22.32
Helgoland,Leichter Regen,15.8,16.56
Kiel-Holtenau,Bedeckt,16.5,15.84
List auf Sylt,Stark Bewölkt,16.8,23.4
Marnitz,Bedeckt,26.4,12.96
Norderney,Regen,16.1,16.92
Rostock-Warnemünde,Bedeckt,19.7,16.2
Schleswig,Sprühregen,16.5,11.88
Schwerin,Bedeckt,22.6,17.28
Westermarkelsdorf,Regen,16.2,7.92
Angermünde,Stark Bewölkt,26.0,10.08
Berlin-Tegel,Wolkig,27.2,3.6
Brocken,Stark Bewölkt,16.2,19.8
Cottbus,Niederschlag,27.9,8.64
Dresden-Klotzsche,Wolkenlos,26.0,11.16
Erfurt-Bindersleben,Wolkig,24.6,16.56
Fichtelberg,Bedeckt,17.9,13.32
Gera-Leumnitz,Bedeckt,26.0,14.04
Görlitz,Wolkenlos,24.2,13.68
Leipzig-Schkeuditz,Bedeckt,26.2,8.279999
Lindenberg,Wolkig,27.5,10.8
Magdeburg,Wolkig,28.6,6.48
Meiningen,Bedeckt,23.3,7.56
Neuruppin-Alt Ruppin,Stark Bewölkt,27.2,9.36
Potsdam,Stark Bewölkt,27.5,12.6
Augsburg-Mühlhausen,Leicht Bewölkt,23.1,6.48
Bamberg,Stark Bewölkt,25.2,8.279999
Feldberg/Schwarzwald,Leicht Bewölkt,14.4,19.08
Freudenstadt,Bedeckt,22.0,7.92
Fürstenzell,Stark Bewölkt,22.3,5.76
Grosser Arber,Bedeckt,13.2,3.96
Hof Hohensaas,Bedeckt,21.8,10.44
Hohenpeissenberg,Wolkig,19.1,7.56
Kempten,Wolkig,21.9,5.4
Konstanz,Bedeckt,24.0,7.56
Lahr,Bedeckt,27.2,6.84
Mannheim,Bedeckt,27.8,14.4
München-Flughafen,Wolkig,22.4,5.4
Nürnberg-Flughafen,Stark Bewölkt,25.7,8.64
Oberstdorf,Stark Bewölkt,22.9,10.08
Oehringen,Stark Bewölkt,26.3,9.36
Regensburg,Bedeckt,25.5,6.12
Rheinstetten,Wolkenlos,28.7,11.52
Straubing,Bedeckt,23.0,5.76
Stuttgart-Echterdingen,Wolkig,25.0,6.12
Weiden,Bedeckt,24.2,9.36
Würzburg,Stark Bewölkt,25.2,11.88
Zugspitze,Nebel,2.1,5.4
Aachen,Bedeckt,20.7,21.24
Bad Lippspringe,Stark Bewölkt,21.9,16.2
Düsseldorf-Flughafen,Niederschlag,20.7,12.96
Frankfurt/M.-Flughafen,Stark Bewölkt,27.4,14.76
Fritzlar,Stark Bewölkt,26.2,14.4
Gießen Wettenberg,Stark Bewölkt,25.6,15.48
Hahn-Flughafen,Trocken,23.6,20.16
Kahler Asten,Bedeckt,17.4,10.08
Köln-Wahn,Stark Bewölkt,22.8,19.8
Münster/Osnabrück-Flughafen,Niederschlag,17.8,11.88
Nürburg-Barweiler,Stark Bewölkt,22.0,15.84
Offenbach/Wetterpark,Bedeckt,26.5,8.64
Saarbrücken/Ensheim,Stark Bewölkt,23.3,23.4
Trier-Petrisberg,Bedeckt,26.1,20.88
Wasserkuppe,Stark Bewölkt,21.0,21.6
