Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,19.1,12.96
Bremen-Flughafen,Leicht Bewölkt,25.3,14.76
Cuxhaven,Wolkenlos,23.7,21.24
Emden-Flughafen,Wolkenlos,25.9,17.64
Greifswald,Wolkig,21.1,16.2
Hamburg-Fuhlsbüttel,Leicht Bewölkt,25.8,13.32
Hannover-Langenhagen,Leicht Bewölkt,25.8,15.84
Helgoland,Wolkenlos,20.5,9.36
Kiel-Holtenau,Wolkenlos,23.0,18.0
List auf Sylt,Wolkenlos,23.3,9.36
Marnitz,Stark Bewölkt,24.1,11.52
Norderney,Wolkenlos,22.6,29.88
Rostock-Warnemünde,Wolkig,19.8,14.76
Schleswig,Wolkenlos,23.6,12.96
Schwerin,Leicht Bewölkt,24.1,9.36
Westermarkelsdorf,Wolkenlos,21.6,10.08
Angermünde,Bedeckt,23.7,15.84
Berlin-Tegel,Stark Bewölkt,22.8,14.4
Brocken,-,15.6,21.24
Cottbus,Regen,20.9,9.0
Dresden-Klotzsche,Stark Bewölkt,20.4,14.4
Erfurt-Bindersleben,Leicht Bewölkt,21.9,14.4
Fichtelberg,Stark Bewölkt,14.8,19.08
Gera-Leumnitz,Leicht Bewölkt,22.6,10.8
Görlitz,Leichter Regen,15.7,5.76
Leipzig-Schkeuditz,Wolkig,24.2,10.44
Lindenberg,Bedeckt,22.5,12.6
Magdeburg,Stark Bewölkt,24.5,9.0
Meiningen,Leicht Bewölkt,23.2,17.28
Neuruppin-Alt Ruppin,Stark Bewölkt,23.6,9.36
Potsdam,Stark Bewölkt,23.9,14.4
Augsburg-Mühlhausen,Wolkenlos,22.9,11.52
Bamberg,Wolkenlos,25.0,11.52
Feldberg/Schwarzwald,Wolkig,17.2,17.28
Freudenstadt,Wolkenlos,22.2,14.76
Fürstenzell,-,15.9,17.64
Grosser Arber,Stark Bewölkt,13.0,10.44
Hof Hohensaas,Leicht Bewölkt,19.7,14.04
Hohenpeissenberg,Wolkenlos,20.0,12.24
Kempten,Wolkenlos,22.9,8.64
Konstanz,Wolkenlos,27.1,12.6
Lahr,Wolkenlos,27.8,16.92
Mannheim,Wolkenlos,26.5,10.8
München-Flughafen,Leicht Bewölkt,22.0,8.279999
Nürnberg-Flughafen,Leicht Bewölkt,23.6,14.4
Oberstdorf,Wolkenlos,23.8,17.28
Oehringen,Wolkenlos,26.2,13.32
Regensburg,Wolkenlos,24.4,10.08
Rheinstetten,Wolkenlos,27.3,20.16
Straubing,Leicht Bewölkt,23.1,8.64
Stuttgart-Echterdingen,Wolkenlos,25.2,17.28
Weiden,Wolkig,21.6,11.16
Würzburg,Wolkenlos,25.5,11.16
Zugspitze,Wolkenlos,5.3,3.96
Aachen,Wolkenlos,26.0,19.8
Bad Lippspringe,Wolkenlos,24.6,16.92
Düsseldorf-Flughafen,Leicht Bewölkt,28.4,20.16
Frankfurt/M.-Flughafen,Leicht Bewölkt,27.0,19.44
Fritzlar,Leicht Bewölkt,25.0,10.8
Gießen Wettenberg,Wolkenlos,25.7,20.88
Hahn-Flughafen,Trocken,23.7,16.56
Kahler Asten,Wolkenlos,19.9,18.36
Köln-Wahn,Leicht Bewölkt,27.8,15.48
Münster/Osnabrück-Flughafen,Leicht Bewölkt,25.9,12.24
Nürburg-Barweiler,Wolkenlos,24.4,14.4
Offenbach/Wetterpark,Wolkenlos,26.7,8.64
Saarbrücken/Ensheim,Leicht Bewölkt,25.9,17.64
Trier-Petrisberg,Wolkenlos,27.8,12.96
Wasserkuppe,Leicht Bewölkt,19.6,12.96
