Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Stark Bewölkt,10.0,14.76
Bremen-Flughafen,Stark Bewölkt,19.5,6.48
Cuxhaven,Stark Bewölkt,17.1,17.64
Emden-Flughafen,Bedeckt,19.1,7.56
Greifswald,Leicht Bewölkt,16.7,8.279999
Hamburg-Fuhlsbüttel,Stark Bewölkt,18.2,12.96
Hannover-Langenhagen,Niederschlag,20.8,9.0
Helgoland,Stark Bewölkt,10.4,12.24
Kiel-Holtenau,Bedeckt,17.5,13.32
List auf Sylt,Stark Bewölkt,13.4,19.08
Marnitz,Bedeckt,18.6,15.12
Norderney,Bedeckt,12.2,7.92
Rostock-Warnemünde,Leicht Bewölkt,17.1,14.04
Schleswig,Stark Bewölkt,17.9,10.44
Schwerin,Stark Bewölkt,19.3,10.44
Westermarkelsdorf,Bedeckt,14.8,20.16
Angermünde,Stark Bewölkt,18.1,12.6
Berlin-Tegel,Leicht Bewölkt,20.3,18.36
Brocken,Wolkenlos,13.3,12.24
Cottbus,Wolkenlos,20.4,7.2
Dresden-Klotzsche,Wolkenlos,19.5,17.64
Erfurt-Bindersleben,Wolkenlos,18.0,8.64
Fichtelberg,Wolkenlos,13.1,14.76
Gera-Leumnitz,Wolkenlos,18.7,7.56
Görlitz,Wolkenlos,19.5,7.56
Leipzig-Schkeuditz,Wolkenlos,19.6,10.8
Lindenberg,Wolkenlos,19.2,7.56
Magdeburg,Wolkenlos,20.7,10.44
Meiningen,Wolkenlos,19.8,16.56
Neuruppin-Alt Ruppin,Stark Bewölkt,19.4,14.76
Potsdam,Wolkenlos,21.4,14.04
Augsburg-Mühlhausen,Wolkenlos,18.5,3.6
Bamberg,Wolkenlos,20.2,6.48
Feldberg/Schwarzwald,Leicht Bewölkt,10.2,14.04
Freudenstadt,Wolkenlos,17.7,10.08
Fürstenzell,Wolkenlos,18.0,10.08
Grosser Arber,Wolkenlos,12.5,11.52
Hof Hohensaas,Wolkenlos,17.5,8.64
Hohenpeissenberg,Wolkenlos,18.0,7.92
Kempten,Wolkenlos,18.6,10.08
Konstanz,Wolkenlos,18.5,6.48
Lahr,Wolkenlos,20.1,4.68
Mannheim,Wolkenlos,21.7,3.24
München-Flughafen,Wolkenlos,18.6,6.48
Nürnberg-Flughafen,Wolkenlos,19.8,11.52
Oberstdorf,Wolkenlos,19.7,6.84
Oehringen,Wolkenlos,20.8,7.92
Regensburg,Wolkenlos,20.3,7.2
Rheinstetten,Trocken,19.4,7.56
Straubing,Wolkenlos,19.4,6.12
Stuttgart-Echterdingen,Wolkenlos,18.2,6.12
Weiden,Wolkenlos,19.5,9.36
Würzburg,Wolkenlos,20.3,9.0
Zugspitze,Wolkenlos,-0.7,5.04
Aachen,Wolkenlos,22.3,4.68
Bad Lippspringe,Leicht Bewölkt,22.1,8.279999
Düsseldorf-Flughafen,Leicht Bewölkt,23.3,5.76
Frankfurt/M.-Flughafen,Leicht Bewölkt,21.7,5.76
Fritzlar,Leicht Bewölkt,19.8,3.6
Gießen Wettenberg,Wolkenlos,21.1,5.4
Hahn-Flughafen,Trocken,19.4,7.2
Kahler Asten,Wolkenlos,16.7,11.52
Köln-Wahn,Leicht Bewölkt,24.0,2.88
Münster/Osnabrück-Flughafen,Wolkig,21.8,4.68
Nürburg-Barweiler,-,16.2,5.04
Offenbach/Wetterpark,Wolkenlos,21.5,5.76
Saarbrücken/Ensheim,Leicht Bewölkt,19.6,6.84
Trier-Petrisberg,Wolkenlos,21.8,9.72
Wasserkuppe,Wolkenlos,15.9,10.44
