Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leichter Regen,16.7,17.28
Bremen-Flughafen,Stark Bewölkt,19.8,11.52
Cuxhaven,Bedeckt,22.6,14.04
Emden-Flughafen,Regen,18.4,6.48
Greifswald,Leichter Regen,17.1,20.16
Hamburg-Fuhlsbüttel,Stark Bewölkt,24.7,13.32
Hannover-Langenhagen,Bedeckt,18.8,15.12
Helgoland,Bedeckt,20.9,15.84
Kiel-Holtenau,Stark Bewölkt,19.3,22.32
List auf Sylt,Wolkig,23.1,16.56
Marnitz,Bedeckt,24.0,11.88
Norderney,Regen,19.2,11.88
Rostock-Warnemünde,Bedeckt,21.4,11.88
Schleswig,Stark Bewölkt,21.7,17.64
Schwerin,Bedeckt,23.1,11.16
Westermarkelsdorf,Bedeckt,18.7,29.88
Angermünde,Bedeckt,23.3,14.76
Berlin-Tegel,Stark Bewölkt,25.9,15.48
Brocken,Leichter Regen,11.3,23.76
Cottbus,Leichter Regen,24.5,12.96
Dresden-Klotzsche,Bedeckt,21.9,26.64
Erfurt-Bindersleben,Regen,15.4,16.56
Fichtelberg,Nebel,11.0,20.16
Gera-Leumnitz,Leichter Regen,15.2,14.04
Görlitz,Starker Regen,19.1,16.56
Leipzig-Schkeuditz,Bedeckt,19.1,24.12
Lindenberg,Bedeckt,22.9,6.84
Magdeburg,Bedeckt,22.2,10.8
Meiningen,Sprühregen,15.3,9.0
Neuruppin-Alt Ruppin,Bedeckt,25.5,7.2
Potsdam,Stark Bewölkt,23.1,5.04
Augsburg-Mühlhausen,Leicht Bewölkt,19.8,11.16
Bamberg,Stark Bewölkt,18.5,9.0
Feldberg/Schwarzwald,Wolkig,9.2,10.44
Freudenstadt,Wolkig,16.5,7.56
Fürstenzell,Regen,15.3,14.76
Grosser Arber,Niederschlag,7.3,31.32
Hof Hohensaas,Leichter Regen,13.8,13.32
Hohenpeissenberg,Stark Bewölkt,17.2,7.92
Kempten,Leicht Bewölkt,19.4,10.44
Konstanz,Bedeckt,19.6,6.12
Lahr,Stark Bewölkt,22.0,9.0
Mannheim,Stark Bewölkt,21.5,6.48
München-Flughafen,Wolkig,19.4,12.96
Nürnberg-Flughafen,Stark Bewölkt,18.2,14.4
Oberstdorf,Stark Bewölkt,19.3,11.52
Oehringen,Wolkig,19.9,14.04
Regensburg,Bedeckt,18.9,5.04
Rheinstetten,Leicht Bewölkt,22.0,9.0
Straubing,Bedeckt,17.0,6.48
Stuttgart-Echterdingen,Wolkig,20.2,4.32
Weiden,Leichter Regen,14.1,5.4
Würzburg,Bedeckt,20.1,14.76
Zugspitze,Bedeckt,0.0,3.24
Aachen,Stark Bewölkt,19.9,15.48
Bad Lippspringe,Sprühregen,16.2,6.48
Düsseldorf-Flughafen,Wolkig,21.1,12.96
Frankfurt/M.-Flughafen,Stark Bewölkt,20.9,9.36
Fritzlar,Regen,18.2,3.6
Gießen Wettenberg,Wolkig,19.9,17.28
Hahn-Flughafen,Trocken,17.4,17.28
Kahler Asten,Bedeckt,14.5,18.0
Köln-Wahn,Wolkig,22.5,11.88
Münster/Osnabrück-Flughafen,Leichter Regenschauer,18.6,8.279999
Nürburg-Barweiler,Leicht Bewölkt,18.7,10.08
Offenbach/Wetterpark,Bedeckt,21.2,9.0
Saarbrücken/Ensheim,Stark Bewölkt,18.1,13.68
Trier-Petrisberg,Stark Bewölkt,18.4,6.12
Wasserkuppe,Nebel,11.6,15.12
