Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,6.7,48.96
Bremen-Flughafen,Stark Bewölkt,7.5,20.52
Cuxhaven,Bedeckt,8.0,28.08
Emden-Flughafen,Stark Bewölkt,7.4,28.08
Greifswald,Leichter Regen,5.5,20.16
Hamburg-Fuhlsbüttel,Stark Bewölkt,8.4,25.56
Hannover-Langenhagen,Wolkig,7.7,20.88
Helgoland,Leichter Sprühregen,6.1,20.16
Kiel-Holtenau,Regen,7.2,25.92
List auf Sylt,Bedeckt,7.9,31.32
Marnitz,Bedeckt,7.2,15.84
Norderney,Bedeckt,7.1,23.4
Rostock-Warnemünde,Bedeckt,7.8,21.96
Schleswig,Bedeckt,8.1,23.04
Schwerin,Bedeckt,6.4,20.52
Westermarkelsdorf,Bedeckt,6.9,40.32
Angermünde,Bedeckt,7.1,22.32
Berlin-Tegel,Stark Bewölkt,7.5,24.84
Brocken,Wolkenlos,0.5,17.28
Cottbus,Wolkenlos,7.5,16.2
Dresden-Klotzsche,Wolkenlos,5.6,12.6
Erfurt-Bindersleben,Leicht Bewölkt,5.8,9.0
Fichtelberg,Wolkenlos,1.0,14.4
Gera-Leumnitz,Wolkenlos,6.7,11.52
Görlitz,Wolkenlos,5.6,15.12
Leipzig-Schkeuditz,Wolkenlos,6.7,18.36
Lindenberg,Wolkenlos,7.9,19.44
Magdeburg,Wolkenlos,9.0,11.52
Meiningen,Wolkenlos,5.5,5.76
Neuruppin-Alt Ruppin,Bedeckt,7.4,14.04
Potsdam,Wolkenlos,8.8,19.8
Augsburg-Mühlhausen,Wolkenlos,6.2,10.44
Bamberg,Wolkenlos,7.3,5.76
Feldberg/Schwarzwald,Leicht Bewölkt,1.6,10.8
Freudenstadt,Wolkenlos,4.3,8.279999
Fürstenzell,Wolkenlos,4.8,9.36
Grosser Arber,Wolkenlos,-1.1,6.12
Hof Hohensaas,Wolkenlos,4.6,6.12
Hohenpeissenberg,Wolkenlos,2.0,9.72
Kempten,Wolkenlos,6.3,6.84
Konstanz,Wolkenlos,8.0,10.44
Lahr,Wolkenlos,9.5,14.04
Mannheim,Wolkenlos,9.2,5.76
München-Flughafen,Wolkenlos,6.4,10.8
Nürnberg-Flughafen,Leicht Bewölkt,6.5,6.84
Oberstdorf,Wolkenlos,7.2,14.04
Oehringen,Leicht Bewölkt,8.5,9.36
Regensburg,Wolkenlos,6.6,6.12
Rheinstetten,Trocken,9.6,11.88
Straubing,Wolkenlos,6.2,10.08
Stuttgart-Echterdingen,Leicht Bewölkt,7.6,9.0
Weiden,Wolkenlos,5.0,7.92
Würzburg,Wolkenlos,6.6,6.12
Zugspitze,Wolkenlos,-8.4,6.12
Aachen,Wolkenlos,7.6,6.84
Bad Lippspringe,Wolkenlos,7.3,16.2
Düsseldorf-Flughafen,Leicht Bewölkt,8.8,7.2
Frankfurt/M.-Flughafen,Leicht Bewölkt,8.2,5.4
Fritzlar,Leicht Bewölkt,6.8,10.8
Gießen Wettenberg,Wolkenlos,7.8,7.92
Hahn-Flughafen,Trocken,5.9,7.2
Kahler Asten,Wolkenlos,4.2,14.4
Köln-Wahn,Wolkenlos,9.1,8.279999
Münster/Osnabrück-Flughafen,Wolkig,7.9,8.64
Nürburg-Barweiler,Wolkenlos,6.7,6.84
Offenbach/Wetterpark,Wolkenlos,7.5,7.2
Saarbrücken/Ensheim,Wolkenlos,7.3,9.72
Trier-Petrisberg,Wolkenlos,9.1,9.0
Wasserkuppe,Wolkenlos,2.4,8.279999
