Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Sprühregen,14.8,38.16
Bremen-Flughafen,Regenschauer,13.8,12.96
Cuxhaven,Leichter Regen,13.9,16.92
Emden-Flughafen,Regen,13.3,29.52
Greifswald,Regenschauer,15.9,18.0
Hamburg-Fuhlsbüttel,Wolkig,15.0,21.96
Hannover-Langenhagen,Niederschlag,12.2,9.72
Helgoland,Wolkenlos,13.4,22.68
Kiel-Holtenau,Wolkig,14.9,27.72
List auf Sylt,Wolkig,13.8,45.36
Marnitz,Stark Bewölkt,16.9,18.0
Norderney,Sprühregen,11.5,32.4
Rostock-Warnemünde,Stark Bewölkt,16.2,26.64
Schleswig,Wolkig,15.7,20.16
Schwerin,Wolkig,17.0,21.96
Westermarkelsdorf,Wolkig,15.7,23.04
Angermünde,Stark Bewölkt,17.5,21.6
Berlin-Tegel,Stark Bewölkt,18.1,27.0
Brocken,Stark Bewölkt,5.4,46.08
Cottbus,Bedeckt,17.4,18.72
Dresden-Klotzsche,Bedeckt,15.6,15.84
Erfurt-Bindersleben,Wolkig,15.1,26.28
Fichtelberg,Sprühregen,5.5,31.32
Gera-Leumnitz,Bedeckt,15.2,25.56
Görlitz,Leichter Sprühregen,13.9,13.68
Leipzig-Schkeuditz,Stark Bewölkt,16.5,30.96
Lindenberg,Stark Bewölkt,16.5,19.08
Magdeburg,Regen,15.2,7.2
Meiningen,Stark Bewölkt,12.9,21.96
Neuruppin-Alt Ruppin,Stark Bewölkt,17.6,12.24
Potsdam,Wolkig,16.9,25.92
Augsburg-Mühlhausen,Wolkig,16.8,9.72
Bamberg,Leichter Regen,13.8,12.96
Feldberg/Schwarzwald,Nebel,6.3,49.32
Freudenstadt,Sprühregen,8.9,10.08
Fürstenzell,-,13.8,1.8
Grosser Arber,Niederschlag,8.1,19.44
Hof Hohensaas,Leichter Regen,11.0,9.36
Hohenpeissenberg,Regen,15.3,8.279999
Kempten,Bedeckt,18.5,12.96
Konstanz,Bedeckt,18.9,25.2
Lahr,Leichter Regen,13.1,5.4
Mannheim,Wolkig,16.3,25.56
München-Flughafen,Stark Bewölkt,18.4,20.52
Nürnberg-Flughafen,Niederschlag,13.3,19.8
Oberstdorf,Bedeckt,19.4,10.44
Oehringen,Leichter Sprühregen,13.0,10.44
Regensburg,Stark Bewölkt,17.1,8.279999
Rheinstetten,Leichter Regen,13.9,20.88
Straubing,Bedeckt,18.1,15.48
Stuttgart-Echterdingen,Regen,11.5,8.279999
Weiden,Leichter Regen,12.8,6.84
Würzburg,Regen,13.5,24.48
Zugspitze,Nebel,1.9,31.68
Aachen,Stark Bewölkt,13.6,28.44
Bad Lippspringe,Leicht Bewölkt,14.1,23.76
Düsseldorf-Flughafen,Wolkig,17.5,34.2
Frankfurt/M.-Flughafen,Niederschlag,16.0,27.0
Fritzlar,Regenschauer,13.6,18.0
Gießen Wettenberg,Regen,11.1,12.24
Hahn-Flughafen,Leichter Sprühregen,11.9,21.24
Kahler Asten,Regen,8.1,31.32
Köln-Wahn,Wolkig,16.3,23.04
Münster/Osnabrück-Flughafen,Niederschlag,14.7,23.04
Nürburg-Barweiler,Stark Bewölkt,12.4,20.88
Offenbach/Wetterpark,Regen,15.6,18.36
Saarbrücken/Ensheim,Niederschlag,15.0,25.92
Trier-Petrisberg,Leichter Regen,10.5,17.64
Wasserkuppe,Bedeckt,8.4,40.32
