Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leicht Bewölkt,16.9,25.92
Bremen-Flughafen,Wolkig,21.1,8.279999
Cuxhaven,Wolkenlos,13.8,21.96
Emden-Flughafen,Stark Bewölkt,17.0,13.68
Greifswald,Wolkenlos,19.6,17.28
Hamburg-Fuhlsbüttel,Leicht Bewölkt,20.5,18.0
Hannover-Langenhagen,Leicht Bewölkt,19.8,14.04
Helgoland,Wolkenlos,10.7,15.48
Kiel-Holtenau,Wolkenlos,18.5,23.04
List auf Sylt,Wolkig,13.0,16.92
Marnitz,Leicht Bewölkt,20.2,11.52
Norderney,Wolkig,11.0,12.24
Rostock-Warnemünde,Wolkenlos,16.9,8.279999
Schleswig,Leicht Bewölkt,18.3,16.92
Schwerin,Wolkenlos,20.3,13.68
Westermarkelsdorf,Leicht Bewölkt,12.9,7.92
Angermünde,Wolkig,20.0,11.88
Berlin-Tegel,Leicht Bewölkt,21.0,11.88
Brocken,Wolkenlos,14.2,28.44
Cottbus,Wolkenlos,21.6,14.04
Dresden-Klotzsche,Wolkenlos,21.3,13.68
Erfurt-Bindersleben,Wolkig,20.7,17.28
Fichtelberg,Leicht Bewölkt,15.0,12.24
Gera-Leumnitz,Wolkig,20.3,7.2
Görlitz,Wolkenlos,19.2,21.6
Leipzig-Schkeuditz,Wolkenlos,21.2,18.0
Lindenberg,Wolkenlos,20.0,7.92
Magdeburg,Wolkenlos,22.0,8.279999
Meiningen,Stark Bewölkt,18.8,15.12
Neuruppin-Alt Ruppin,Wolkig,20.9,11.52
Potsdam,Leicht Bewölkt,22.2,12.24
Augsburg-Mühlhausen,Leicht Bewölkt,21.3,3.24
Bamberg,Leicht Bewölkt,21.4,7.2
Feldberg/Schwarzwald,Stark Bewölkt,10.7,16.2
Freudenstadt,Stark Bewölkt,17.5,10.8
Fürstenzell,Wolkenlos,19.2,5.4
Grosser Arber,Wolkig,12.0,14.76
Hof Hohensaas,Leicht Bewölkt,18.9,10.44
Hohenpeissenberg,Leicht Bewölkt,19.0,10.44
Kempten,Wolkenlos,20.5,13.68
Konstanz,Wolkenlos,20.4,7.2
Lahr,Wolkenlos,22.8,12.24
Mannheim,Wolkenlos,22.7,8.64
München-Flughafen,Leicht Bewölkt,19.5,3.6
Nürnberg-Flughafen,Leicht Bewölkt,21.0,9.0
Oberstdorf,Wolkig,20.4,6.48
Oehringen,Bedeckt,21.7,10.44
Regensburg,Wolkenlos,20.7,8.64
Rheinstetten,Wolkenlos,21.4,9.72
Straubing,Wolkenlos,20.3,6.84
Stuttgart-Echterdingen,Wolkig,20.7,9.36
Weiden,Wolkenlos,19.2,11.16
Würzburg,Wolkenlos,21.8,6.48
Zugspitze,Wolkig,-0.6,18.72
Aachen,Wolkenlos,19.8,12.24
Bad Lippspringe,Wolkig,20.5,10.8
Düsseldorf-Flughafen,Wolkenlos,21.4,9.36
Frankfurt/M.-Flughafen,Wolkig,22.1,12.96
Fritzlar,-,21.5,18.0
Gießen Wettenberg,Stark Bewölkt,20.3,6.84
Hahn-Flughafen,Trocken,17.1,9.36
Kahler Asten,Wolkenlos,16.3,21.24
Köln-Wahn,Niederschlag,21.3,7.2
Münster/Osnabrück-Flughafen,Wolkenlos,21.0,11.52
Nürburg-Barweiler,Leicht Bewölkt,18.7,9.0
Offenbach/Wetterpark,Leicht Bewölkt,22.3,4.68
Saarbrücken/Ensheim,Wolkig,20.5,6.84
Trier-Petrisberg,Leicht Bewölkt,19.9,6.84
Wasserkuppe,Wolkenlos,17.8,16.2
