Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,15.6,16.56
Bremen-Flughafen,Regenschauer,16.5,7.56
Cuxhaven,Stark Bewölkt,14.3,17.28
Emden-Flughafen,Stark Bewölkt,15.5,17.64
Greifswald,Stark Bewölkt,17.7,14.4
Hamburg-Fuhlsbüttel,Stark Bewölkt,17.1,9.36
Hannover-Langenhagen,Stark Bewölkt,18.4,11.88
Helgoland,Bedeckt,14.4,9.72
Kiel-Holtenau,Leicht Bewölkt,18.1,15.48
List auf Sylt,Bedeckt,13.3,28.8
Marnitz,Bedeckt,15.9,4.32
Norderney,Leicht Bewölkt,14.3,17.64
Rostock-Warnemünde,Wolkenlos,14.9,13.32
Schleswig,Wolkig,17.0,8.64
Schwerin,Bedeckt,16.9,6.48
Westermarkelsdorf,Wolkenlos,15.2,12.24
Angermünde,Stark Bewölkt,19.2,13.68
Berlin-Tegel,Wolkig,19.2,7.92
Brocken,Stark Bewölkt,10.5,5.76
Cottbus,Stark Bewölkt,19.1,6.48
Dresden-Klotzsche,Stark Bewölkt,18.2,12.24
Erfurt-Bindersleben,Stark Bewölkt,17.0,6.48
Fichtelberg,Stark Bewölkt,9.6,10.44
Gera-Leumnitz,Stark Bewölkt,17.0,7.56
Görlitz,Wolkig,17.7,7.2
Leipzig-Schkeuditz,Bedeckt,18.3,3.96
Lindenberg,Stark Bewölkt,21.3,6.84
Magdeburg,Bedeckt,19.8,9.72
Meiningen,Bedeckt,15.6,7.92
Neuruppin-Alt Ruppin,Stark Bewölkt,19.7,10.44
Potsdam,Stark Bewölkt,21.5,9.72
Augsburg-Mühlhausen,Bedeckt,15.8,9.72
Bamberg,Stark Bewölkt,16.5,7.2
Feldberg/Schwarzwald,Bedeckt,6.1,10.44
Freudenstadt,Bedeckt,13.4,5.76
Fürstenzell,-,13.8,1.8
Grosser Arber,Niederschlag,5.3,13.68
Hof Hohensaas,Stark Bewölkt,13.7,3.24
Hohenpeissenberg,Stark Bewölkt,11.2,15.12
Kempten,Bedeckt,15.4,9.36
Konstanz,Bedeckt,18.3,11.16
Lahr,Wolkig,18.8,16.56
Mannheim,Sprühregen,17.2,14.76
München-Flughafen,Stark Bewölkt,14.9,16.56
Nürnberg-Flughafen,Stark Bewölkt,16.2,9.72
Oberstdorf,Bedeckt,14.8,13.32
Oehringen,Bedeckt,16.7,10.8
Regensburg,Bedeckt,15.6,7.92
Rheinstetten,Stark Bewölkt,19.5,11.52
Straubing,Regen,14.2,4.32
Stuttgart-Echterdingen,Leichter Regenschauer,16.0,15.84
Weiden,Bedeckt,15.1,2.16
Würzburg,Bedeckt,17.7,9.36
Zugspitze,Gefrierender Nebel,-0.3,11.52
Aachen,Bedeckt,14.6,14.04
Bad Lippspringe,Bedeckt,17.0,11.16
Düsseldorf-Flughafen,Regenschauer,18.0,12.24
Frankfurt/M.-Flughafen,Stark Bewölkt,20.4,7.2
Fritzlar,Stark Bewölkt,18.0,3.6
Gießen Wettenberg,Wolkig,19.0,14.4
Hahn-Flughafen,Trocken,16.6,15.12
Kahler Asten,Bedeckt,12.2,14.04
Köln-Wahn,Wolkig,18.5,7.2
Münster/Osnabrück-Flughafen,Leichter Regenschauer,14.8,4.68
Nürburg-Barweiler,Bedeckt,15.0,12.6
Offenbach/Wetterpark,Stark Bewölkt,20.2,7.56
Saarbrücken/Ensheim,Stark Bewölkt,17.0,5.4
Trier-Petrisberg,Regen,19.5,7.92
Wasserkuppe,Bedeckt,12.2,7.92
