Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,17.9,14.4
Bremen-Flughafen,Wolkig,20.1,16.56
Cuxhaven,Sprühregen,16.8,19.8
Emden-Flughafen,Leicht Bewölkt,18.2,15.84
Greifswald,Wolkig,20.0,21.96
Hamburg-Fuhlsbüttel,Leicht Bewölkt,19.4,15.48
Hannover-Langenhagen,Wolkig,21.1,8.64
Helgoland,Wolkig,17.7,15.48
Kiel-Holtenau,Stark Bewölkt,17.5,18.0
List auf Sylt,Wolkenlos,17.3,22.68
Marnitz,Bedeckt,18.4,8.64
Norderney,Leicht Bewölkt,17.6,15.48
Rostock-Warnemünde,Wolkenlos,18.4,16.56
Schleswig,Regen,16.9,8.64
Schwerin,Stark Bewölkt,18.6,9.72
Westermarkelsdorf,Wolkenlos,17.7,16.56
Angermünde,Stark Bewölkt,20.9,11.88
Berlin-Tegel,Stark Bewölkt,21.3,12.24
Brocken,Wolkig,12.8,23.4
Cottbus,Bedeckt,20.3,14.4
Dresden-Klotzsche,Bedeckt,17.9,19.44
Erfurt-Bindersleben,Regenschauer,20.4,16.2
Fichtelberg,Leichter Regen,8.4,35.28
Gera-Leumnitz,Bedeckt,19.5,9.36
Görlitz,Leichter Regen,16.4,13.68
Leipzig-Schkeuditz,Bedeckt,19.6,14.04
Lindenberg,Bedeckt,20.5,7.56
Magdeburg,Wolkig,21.0,8.64
Meiningen,Regen,16.8,12.96
Neuruppin-Alt Ruppin,Stark Bewölkt,21.3,10.44
Potsdam,Bedeckt,21.1,9.72
Augsburg-Mühlhausen,Leichter Regen,15.7,9.0
Bamberg,Regen,19.2,6.84
Feldberg/Schwarzwald,Regen,7.5,16.2
Freudenstadt,Bedeckt,15.7,14.76
Fürstenzell,Sprühregen,13.2,14.76
Grosser Arber,Niederschlag,5.5,27.36
Hof Hohensaas,Bedeckt,16.4,10.44
Hohenpeissenberg,Leichter Regen,9.9,2.88
Kempten,Sprühregen,12.9,3.24
Konstanz,Regen,15.3,6.48
Lahr,Stark Bewölkt,20.9,7.2
Mannheim,Wolkig,22.1,13.32
München-Flughafen,Leichter Regen,13.8,5.4
Nürnberg-Flughafen,Bedeckt,18.3,6.84
Oberstdorf,Leichter Regen,12.6,4.68
Oehringen,Bedeckt,20.1,9.72
Regensburg,Leichter Regen,15.3,7.56
Rheinstetten,Leicht Bewölkt,22.7,7.92
Straubing,Leichter Regen,14.4,14.76
Stuttgart-Echterdingen,Stark Bewölkt,19.5,5.04
Weiden,Sprühregen,15.2,7.92
Würzburg,Bedeckt,20.1,6.12
Zugspitze,Leichter Schneefall,-2.5,10.08
Aachen,Wolkenlos,20.3,6.84
Bad Lippspringe,Leicht Bewölkt,20.4,11.52
Düsseldorf-Flughafen,Leicht Bewölkt,21.7,14.4
Frankfurt/M.-Flughafen,Wolkig,24.0,5.4
Fritzlar,Wolkig,20.5,14.4
Gießen Wettenberg,Leicht Bewölkt,22.6,9.72
Hahn-Flughafen,Trocken,18.2,9.72
Kahler Asten,Trocken,14.4,20.16
Köln-Wahn,Wolkig,20.6,9.72
Münster/Osnabrück-Flughafen,Stark Bewölkt,21.3,16.92
Nürburg-Barweiler,Trocken,17.8,9.36
Offenbach/Wetterpark,Leicht Bewölkt,23.0,13.32
Saarbrücken/Ensheim,Wolkig,19.4,9.72
Trier-Petrisberg,Bedeckt,19.9,3.96
Wasserkuppe,Stark Bewölkt,14.4,23.76
