Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,12.2,29.88
Bremen-Flughafen,Wolkig,16.3,4.68
Cuxhaven,Leicht Bewölkt,12.8,11.88
Emden-Flughafen,Sprühregen,15.1,5.76
Greifswald,Leicht Bewölkt,14.5,20.52
Hamburg-Fuhlsbüttel,Leicht Bewölkt,15.2,13.68
Hannover-Langenhagen,Leicht Bewölkt,16.4,10.08
Helgoland,Wolkenlos,9.6,11.16
Kiel-Holtenau,Wolkig,15.3,15.84
List auf Sylt,Stark Bewölkt,11.5,19.8
Marnitz,Wolkenlos,16.3,12.24
Norderney,Feuchter Dunst,8.1,7.2
Rostock-Warnemünde,Wolkenlos,10.4,21.6
Schleswig,Leicht Bewölkt,17.0,14.76
Schwerin,Wolkenlos,15.2,16.92
Westermarkelsdorf,Bedeckt,10.9,21.24
Angermünde,Wolkenlos,17.3,15.12
Berlin-Tegel,Wolkenlos,18.4,9.72
Brocken,Stark Bewölkt,7.5,12.6
Cottbus,Wolkenlos,20.2,8.64
Dresden-Klotzsche,Wolkenlos,17.7,14.4
Erfurt-Bindersleben,Leicht Bewölkt,17.5,12.24
Fichtelberg,Wolkenlos,13.3,15.48
Gera-Leumnitz,Wolkenlos,17.6,13.68
Görlitz,Wolkenlos,19.3,15.84
Leipzig-Schkeuditz,Stark Bewölkt,15.5,14.76
Lindenberg,Wolkenlos,19.0,13.32
Magdeburg,Wolkenlos,17.9,5.76
Meiningen,Wolkenlos,18.4,7.2
Neuruppin-Alt Ruppin,Wolkenlos,17.1,15.12
Potsdam,Wolkenlos,18.2,11.52
Augsburg-Mühlhausen,Wolkenlos,19.3,16.2
Bamberg,Wolkenlos,21.1,8.279999
Feldberg/Schwarzwald,Wolkenlos,9.9,32.4
Freudenstadt,Wolkenlos,17.2,16.2
Fürstenzell,Wolkenlos,18.1,7.56
Grosser Arber,Wolkenlos,11.8,10.44
Hof Hohensaas,Wolkenlos,17.1,9.36
Hohenpeissenberg,Wolkenlos,15.3,14.4
Kempten,Wolkenlos,18.8,12.6
Konstanz,Wolkenlos,20.7,9.36
Lahr,Wolkenlos,19.7,14.4
Mannheim,Wolkenlos,22.4,6.12
München-Flughafen,Wolkenlos,19.8,14.4
Nürnberg-Flughafen,Leicht Bewölkt,20.8,10.08
Oberstdorf,Wolkenlos,18.6,10.8
Oehringen,Wolkenlos,22.4,7.2
Regensburg,Wolkenlos,21.3,10.8
Rheinstetten,Trocken,21.6,14.76
Straubing,Wolkenlos,18.3,6.48
Stuttgart-Echterdingen,Leicht Bewölkt,21.0,11.88
Weiden,Leicht Bewölkt,19.6,16.92
Würzburg,Wolkenlos,21.6,12.24
Zugspitze,Wolkenlos,-3.3,24.12
Aachen,Wolkenlos,17.1,12.96
Bad Lippspringe,Stark Bewölkt,17.7,9.0
Düsseldorf-Flughafen,Leicht Bewölkt,18.0,14.4
Frankfurt/M.-Flughafen,Leicht Bewölkt,20.6,10.44
Fritzlar,Leicht Bewölkt,15.9,10.8
Gießen Wettenberg,Wolkenlos,18.3,16.2
Hahn-Flughafen,Trocken,17.8,11.52
Kahler Asten,Stark Bewölkt,12.3,10.44
Köln-Wahn,Niederschlag,19.6,3.96
Münster/Osnabrück-Flughafen,Wolkig,17.5,11.16
Nürburg-Barweiler,Wolkenlos,17.2,8.279999
Offenbach/Wetterpark,Wolkenlos,20.3,7.2
Saarbrücken/Ensheim,Leicht Bewölkt,20.4,12.24
Trier-Petrisberg,Stark Bewölkt,19.8,15.48
Wasserkuppe,Leicht Bewölkt,14.8,10.08
