Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,7.4,33.12
Bremen-Flughafen,Stark Bewölkt,8.1,25.56
Cuxhaven,Stark Bewölkt,7.8,27.36
Emden-Flughafen,Leichter Regen,5.5,20.52
Greifswald,Wolkig,9.1,23.76
Hamburg-Fuhlsbüttel,Stark Bewölkt,8.2,24.48
Hannover-Langenhagen,Stark Bewölkt,7.3,27.36
Helgoland,Wolkig,7.6,30.96
Kiel-Holtenau,Wolkig,8.2,23.76
List auf Sylt,Regen,7.3,33.48
Marnitz,Wolkig,9.1,21.24
Norderney,Stark Bewölkt,7.0,34.56
Rostock-Warnemünde,Wolkig,7.7,38.16
Schleswig,Bedeckt,8.7,20.88
Schwerin,Wolkig,8.6,18.72
Westermarkelsdorf,Wolkenlos,6.9,21.24
Angermünde,Bedeckt,7.6,29.16
Berlin-Tegel,Stark Bewölkt,9.4,20.16
Brocken,Leicht Bewölkt,0.3,22.68
Cottbus,Stark Bewölkt,7.5,17.64
Dresden-Klotzsche,Stark Bewölkt,7.2,22.32
Erfurt-Bindersleben,Leichter Schneeregenschauer,6.3,9.72
Fichtelberg,Schnee,-3.3,25.56
Gera-Leumnitz,Stark Bewölkt,5.9,12.96
Görlitz,Wolkig,7.5,19.8
Leipzig-Schkeuditz,Wolkig,7.3,12.6
Lindenberg,Bedeckt,7.4,19.8
Magdeburg,Leicht Bewölkt,10.1,10.8
Meiningen,Stark Bewölkt,5.5,15.48
Neuruppin-Alt Ruppin,Stark Bewölkt,8.2,13.32
Potsdam,Wolkig,9.5,18.72
Augsburg-Mühlhausen,Bedeckt,4.6,13.32
Bamberg,Wolkig,8.1,10.8
Feldberg/Schwarzwald,Wolkenlos,0.8,14.76
Freudenstadt,Wolkenlos,4.5,11.88
Fürstenzell,Stark Bewölkt,5.3,23.04
Grosser Arber,Niederschlag,-4.9,18.36
Hof Hohensaas,Schnee,2.9,16.56
Hohenpeissenberg,Stark Bewölkt,1.8,6.84
Kempten,Leicht Bewölkt,6.1,7.56
Konstanz,Wolkenlos,10.4,7.92
Lahr,Wolkenlos,9.7,21.24
Mannheim,Stark Bewölkt,8.6,10.8
München-Flughafen,Stark Bewölkt,5.5,13.68
Nürnberg-Flughafen,Stark Bewölkt,7.0,11.52
Oberstdorf,Stark Bewölkt,6.0,16.56
Oehringen,Bedeckt,8.2,10.8
Regensburg,Bedeckt,5.9,10.08
Rheinstetten,Wolkig,9.1,7.92
Straubing,-,8.0,27.0
Stuttgart-Echterdingen,Stark Bewölkt,5.9,9.72
Weiden,Niederschlag,4.2,12.6
Würzburg,Leicht Bewölkt,8.4,11.52
Zugspitze,Schneegriesel,-14.,15.12
Aachen,Stark Bewölkt,7.5,12.24
Bad Lippspringe,Stark Bewölkt,7.4,11.88
Düsseldorf-Flughafen,Stark Bewölkt,8.1,16.56
Frankfurt/M.-Flughafen,Stark Bewölkt,8.9,15.48
Fritzlar,Stark Bewölkt,6.7,10.8
Gießen Wettenberg,Stark Bewölkt,7.3,18.36
Hahn-Flughafen,Trocken,4.8,15.12
Kahler Asten,Bedeckt,1.2,15.48
Köln-Wahn,Stark Bewölkt,8.6,17.64
Münster/Osnabrück-Flughafen,Stark Bewölkt,9.0,14.76
Nürburg-Barweiler,Wolkig,5.4,14.76
Offenbach/Wetterpark,Bedeckt,7.9,10.44
Saarbrücken/Ensheim,Leicht Bewölkt,8.6,17.28
Trier-Petrisberg,Leicht Bewölkt,9.4,15.12
Wasserkuppe,Stark Bewölkt,1.9,21.96
