Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,16.7,55.8
Bremen-Flughafen,Leichter Regenschauer,17.2,34.2
Cuxhaven,Regen,15.9,35.28
Emden-Flughafen,Leichter Regen,13.1,27.0
Greifswald,Regenschauer,15.6,24.84
Hamburg-Fuhlsbüttel,Stark Bewölkt,15.7,21.6
Hannover-Langenhagen,Niederschlag,15.3,28.8
Helgoland,Regen,14.9,39.24
Kiel-Holtenau,Regen,15.1,33.84
List auf Sylt,Stark Bewölkt,15.2,52.2
Marnitz,Stark Bewölkt,17.2,23.4
Norderney,Regen,15.6,45.72
Rostock-Warnemünde,Stark Bewölkt,16.8,37.08
Schleswig,Stark Bewölkt,16.7,29.16
Schwerin,Regen,14.7,24.12
Westermarkelsdorf,Wolkig,16.9,47.88
Angermünde,Stark Bewölkt,19.9,29.16
Berlin-Tegel,Wolkig,19.7,34.56
Brocken,Stark Bewölkt,7.8,53.64
Cottbus,Wolkig,21.9,22.32
Dresden-Klotzsche,Wolkig,20.2,29.16
Erfurt-Bindersleben,Wolkig,16.6,28.44
Fichtelberg,Wolkig,13.7,28.8
Gera-Leumnitz,Wolkig,19.7,28.8
Görlitz,Leicht Bewölkt,21.7,20.52
Leipzig-Schkeuditz,Leicht Bewölkt,20.6,36.36
Lindenberg,Wolkig,20.1,26.28
Magdeburg,Stark Bewölkt,18.9,24.84
Meiningen,Bedeckt,16.2,16.92
Neuruppin-Alt Ruppin,Wolkig,16.6,17.64
Potsdam,Wolkig,21.3,28.08
Augsburg-Mühlhausen,Leichter Regen,17.2,12.24
Bamberg,Wolkig,20.0,21.24
Feldberg/Schwarzwald,Nebel,7.7,29.16
Freudenstadt,Stark Bewölkt,13.4,25.2
Fürstenzell,-,12.2,5.04
Grosser Arber,Niederschlag,8.6,41.4
Hof Hohensaas,Leicht Bewölkt,17.6,19.08
Hohenpeissenberg,Bedeckt,13.2,16.2
Kempten,Regen,15.6,8.64
Konstanz,Bedeckt,18.4,9.0
Lahr,Stark Bewölkt,20.0,16.2
Mannheim,Stark Bewölkt,18.7,20.16
München-Flughafen,Stark Bewölkt,16.9,18.0
Nürnberg-Flughafen,Leicht Bewölkt,20.4,32.76
Oberstdorf,Wolkig,20.3,19.8
Oehringen,Stark Bewölkt,19.0,27.0
Regensburg,Stark Bewölkt,21.2,8.64
Rheinstetten,Leicht Bewölkt,20.4,24.84
Straubing,Regen,16.6,10.8
Stuttgart-Echterdingen,Leicht Bewölkt,19.2,27.0
Weiden,Wolkig,19.6,14.76
Würzburg,Wolkig,19.1,26.28
Zugspitze,Nebel,4.5,20.52
Aachen,Regen,13.6,19.44
Bad Lippspringe,Leichter Regen,15.4,28.8
Düsseldorf-Flughafen,Leichter Regenschauer,17.5,21.96
Frankfurt/M.-Flughafen,Wolkig,19.4,22.32
Fritzlar,Stark Bewölkt,16.9,18.0
Gießen Wettenberg,Stark Bewölkt,18.4,29.52
Hahn-Flughafen,Trocken,14.9,28.44
Kahler Asten,Wolkig,11.5,34.2
Köln-Wahn,Niederschlag,18.8,23.4
Münster/Osnabrück-Flughafen,Niederschlag,13.8,20.16
Nürburg-Barweiler,Stark Bewölkt,15.6,15.48
Offenbach/Wetterpark,Stark Bewölkt,18.9,13.32
Saarbrücken/Ensheim,Wolkig,16.6,21.96
Trier-Petrisberg,Stark Bewölkt,17.6,20.52
Wasserkuppe,Stark Bewölkt,12.1,21.6
