Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,4.1,43.92
Bremen-Flughafen,Niederschlag,3.6,32.4
Cuxhaven,Wolkig,4.5,44.28
Emden-Flughafen,Wolkig,4.9,39.6
Greifswald,Stark Bewölkt,3.4,35.28
Hamburg-Fuhlsbüttel,Stark Bewölkt,4.0,27.72
Hannover-Langenhagen,Niederschlag,3.2,33.12
Helgoland,Leicht Bewölkt,4.3,41.76
Kiel-Holtenau,Wolkenlos,3.9,41.76
List auf Sylt,Wolkenlos,4.8,40.68
Marnitz,Leichter Schneefall,3.1,26.28
Norderney,Leicht Bewölkt,4.3,54.36
Rostock-Warnemünde,Bedeckt,2.6,46.44
Schleswig,Leicht Bewölkt,4.6,33.84
Schwerin,Bedeckt,3.3,33.12
Westermarkelsdorf,Wolkenlos,3.8,43.56
Angermünde,Leichter Regen,3.1,37.8
Berlin-Tegel,Niederschlag,3.9,23.76
Brocken,Schneefall,-4.2,42.84
Cottbus,Sprühregen,4.1,9.0
Dresden-Klotzsche,Leichter Sprühregen,3.2,23.76
Erfurt-Bindersleben,Niederschlag,5.1,12.96
Fichtelberg,Schnee,-3.5,31.68
Gera-Leumnitz,Bedeckt,4.2,21.24
Görlitz,Bedeckt,3.8,14.4
Leipzig-Schkeuditz,Sprühregen,3.0,25.2
Lindenberg,Leichter Regen,4.0,13.68
Magdeburg,Leichter Regen,3.7,20.16
Meiningen,Bedeckt,4.4,23.4
Neuruppin-Alt Ruppin,Leichter Sprühregen,3.6,21.96
Potsdam,Leichter Regen,3.8,24.48
Augsburg-Mühlhausen,Leichter Sprühregen,7.3,12.24
Bamberg,Leichter Regen,5.8,15.84
Feldberg/Schwarzwald,Gefrierender Nebel,-3.7,13.32
Freudenstadt,Leichter Schneefall,-1.0,11.16
Fürstenzell,Bedeckt,10.1,9.72
Grosser Arber,Stark Bewölkt,0.0,20.88
Hof Hohensaas,Niederschlag,2.9,15.84
Hohenpeissenberg,Sprühregen,2.6,12.6
Kempten,Leichter Sprühregen,5.5,5.4
Konstanz,Leichter Regen,6.3,14.4
Lahr,Leichter Sprühregen,3.4,20.16
Mannheim,Bedeckt,6.6,22.32
München-Flughafen,Bedeckt,8.7,13.32
Nürnberg-Flughafen,Stark Bewölkt,7.2,16.56
Oberstdorf,Leichter Regen,5.9,14.76
Oehringen,Bedeckt,4.7,9.36
Regensburg,Bedeckt,10.8,12.24
Rheinstetten,Trocken,6.2,14.04
Straubing,Bedeckt,9.9,18.0
Stuttgart-Echterdingen,Niederschlag,1.9,19.08
Weiden,Bedeckt,6.3,20.16
Würzburg,Leichter Regen,5.3,14.4
Zugspitze,Leichter Schneefall,-6.7,12.6
Aachen,Leichter Schneefall,2.1,33.84
Bad Lippspringe,Regen,2.2,16.56
Düsseldorf-Flughafen,Niederschlag,3.4,36.36
Frankfurt/M.-Flughafen,Stark Bewölkt,7.1,20.16
Fritzlar,-,4.7,21.6
Gießen Wettenberg,Bedeckt,5.6,22.68
Hahn-Flughafen,Leichter Schneefall,2.7,26.64
Kahler Asten,Leichter Schneefall,-1.8,24.84
Köln-Wahn,Niederschlag,4.9,32.4
Münster/Osnabrück-Flughafen,Niederschlag,1.9,27.36
Nürburg-Barweiler,Schnee,1.6,22.32
Offenbach/Wetterpark,Bedeckt,6.2,11.52
Saarbrücken/Ensheim,Bedeckt,5.1,21.24
Trier-Petrisberg,Regen,4.4,21.24
Wasserkuppe,Sprühregen,-0.5,32.04
