Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,16.8,18.72
Bremen-Flughafen,Stark Bewölkt,19.1,19.08
Cuxhaven,Bedeckt,18.5,13.32
Emden-Flughafen,Bedeckt,18.3,23.04
Greifswald,Wolkig,19.7,14.4
Hamburg-Fuhlsbüttel,Stark Bewölkt,18.6,16.56
Hannover-Langenhagen,Stark Bewölkt,19.9,18.36
Helgoland,Bedeckt,17.3,18.36
Kiel-Holtenau,Stark Bewölkt,18.4,12.96
List auf Sylt,Bedeckt,17.5,23.04
Marnitz,Stark Bewölkt,19.1,6.12
Norderney,Bedeckt,18.0,23.04
Rostock-Warnemünde,Wolkenlos,17.7,11.52
Schleswig,Stark Bewölkt,18.5,12.6
Schwerin,Wolkig,18.5,9.72
Westermarkelsdorf,Bedeckt,17.5,11.16
Angermünde,Leicht Bewölkt,19.5,13.68
Berlin-Tegel,Wolkig,21.3,13.68
Brocken,Bedeckt,11.2,30.24
Cottbus,Stark Bewölkt,20.8,11.88
Dresden-Klotzsche,Leicht Bewölkt,22.2,19.8
Erfurt-Bindersleben,Stark Bewölkt,20.7,16.2
Fichtelberg,Bedeckt,13.5,18.72
Gera-Leumnitz,Stark Bewölkt,21.1,15.48
Görlitz,Stark Bewölkt,20.6,7.56
Leipzig-Schkeuditz,Stark Bewölkt,21.7,19.44
Lindenberg,Wolkig,20.1,15.84
Magdeburg,Stark Bewölkt,22.1,5.04
Meiningen,Bedeckt,20.2,18.0
Neuruppin-Alt Ruppin,Leicht Bewölkt,19.3,6.84
Potsdam,Wolkig,21.7,9.72
Augsburg-Mühlhausen,Bedeckt,21.8,5.76
Bamberg,Stark Bewölkt,22.5,11.88
Feldberg/Schwarzwald,Stark Bewölkt,12.2,28.44
Freudenstadt,Bedeckt,18.1,12.6
Fürstenzell,Stark Bewölkt,21.2,6.48
Grosser Arber,Bedeckt,13.5,19.44
Hof Hohensaas,Stark Bewölkt,19.6,14.4
Hohenpeissenberg,Bedeckt,19.2,5.04
Kempten,-,20.9,4.68
Konstanz,Bedeckt,22.7,5.04
Lahr,Bedeckt,22.8,9.0
Mannheim,Bedeckt,20.9,12.96
München-Flughafen,Stark Bewölkt,21.4,7.56
Nürnberg-Flughafen,Wolkig,22.3,15.84
Oberstdorf,Bedeckt,21.4,9.0
Oehringen,Bedeckt,21.8,13.68
Regensburg,Bedeckt,23.0,10.08
Rheinstetten,Bedeckt,21.8,13.32
Straubing,Stark Bewölkt,22.5,6.84
Stuttgart-Echterdingen,Stark Bewölkt,21.1,6.84
Weiden,Stark Bewölkt,22.6,10.44
Würzburg,Bedeckt,23.0,15.12
Zugspitze,Stark Bewölkt,5.1,20.88
Aachen,Regen,18.9,25.92
Bad Lippspringe,Stark Bewölkt,20.1,11.16
Düsseldorf-Flughafen,Regen,21.3,27.72
Frankfurt/M.-Flughafen,Bedeckt,20.6,13.68
Fritzlar,Stark Bewölkt,20.8,18.0
Gießen Wettenberg,Bedeckt,21.2,20.16
Hahn-Flughafen,Trocken,18.9,19.8
Kahler Asten,Bedeckt,14.9,22.68
Köln-Wahn,Regen,20.1,14.76
Münster/Osnabrück-Flughafen,Bedeckt,20.2,11.88
Nürburg-Barweiler,Bedeckt,17.9,15.84
Offenbach/Wetterpark,Bedeckt,21.8,12.6
Saarbrücken/Ensheim,Niederschlag,21.0,15.12
Trier-Petrisberg,Bedeckt,20.5,22.32
Wasserkuppe,Bedeckt,16.1,28.08
