Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,16.4,41.04
Bremen-Flughafen,Stark Bewölkt,19.2,14.76
Cuxhaven,Wolkenlos,17.2,23.04
Emden-Flughafen,Leicht Bewölkt,18.2,12.6
Greifswald,Bedeckt,17.9,17.64
Hamburg-Fuhlsbüttel,Wolkig,19.0,20.52
Hannover-Langenhagen,Wolkig,19.4,18.72
Helgoland,Trocken,17.2,19.8
Kiel-Holtenau,Bedeckt,17.3,21.96
List auf Sylt,Wolkig,17.5,32.04
Marnitz,Bedeckt,17.4,7.92
Norderney,Wolkenlos,17.2,17.64
Rostock-Warnemünde,Bedeckt,17.0,28.8
Schleswig,Stark Bewölkt,18.7,16.92
Schwerin,Bedeckt,17.7,15.48
Westermarkelsdorf,Bedeckt,16.8,25.56
Angermünde,Stark Bewölkt,20.2,18.36
Berlin-Tegel,Wolkig,19.4,14.4
Brocken,Bedeckt,11.0,18.0
Cottbus,Sprühregen,20.6,12.6
Dresden-Klotzsche,Stark Bewölkt,20.3,14.4
Erfurt-Bindersleben,Wolkig,20.3,11.88
Fichtelberg,Stark Bewölkt,11.5,20.88
Gera-Leumnitz,Leicht Bewölkt,20.7,9.36
Görlitz,Stark Bewölkt,19.4,14.04
Leipzig-Schkeuditz,Stark Bewölkt,21.5,13.68
Lindenberg,Leicht Bewölkt,21.3,11.88
Magdeburg,Wolkig,21.0,12.96
Meiningen,Leicht Bewölkt,19.8,15.48
Neuruppin-Alt Ruppin,Wolkig,19.5,12.24
Potsdam,Wolkig,21.6,11.16
Augsburg-Mühlhausen,Leicht Bewölkt,21.5,7.56
Bamberg,Stark Bewölkt,22.1,10.8
Feldberg/Schwarzwald,Wolkig,13.9,20.88
Freudenstadt,Leicht Bewölkt,19.5,11.88
Fürstenzell,Stark Bewölkt,19.3,5.4
Grosser Arber,Stark Bewölkt,10.9,3.6
Hof Hohensaas,Bedeckt,17.5,9.0
Hohenpeissenberg,Leicht Bewölkt,17.0,10.8
Kempten,Leicht Bewölkt,20.7,12.6
Konstanz,Leicht Bewölkt,23.6,12.96
Lahr,Wolkenlos,25.5,21.96
Mannheim,Leicht Bewölkt,24.7,9.72
München-Flughafen,Wolkig,20.4,10.8
Nürnberg-Flughafen,Wolkig,21.2,9.72
Oberstdorf,Wolkenlos,20.9,21.6
Oehringen,Wolkig,23.0,12.6
Regensburg,Wolkig,22.9,4.68
Rheinstetten,Wolkenlos,25.3,12.96
Straubing,Wolkig,20.2,6.12
Stuttgart-Echterdingen,Wolkig,22.7,10.44
Weiden,Bedeckt,20.3,6.84
Würzburg,Wolkig,22.4,7.2
Zugspitze,Nebel,2.1,8.64
Aachen,Wolkenlos,19.8,10.44
Bad Lippspringe,Stark Bewölkt,19.4,6.84
Düsseldorf-Flughafen,Leicht Bewölkt,21.9,6.48
Frankfurt/M.-Flughafen,Wolkig,24.2,14.04
Fritzlar,Leicht Bewölkt,21.0,10.8
Gießen Wettenberg,Stark Bewölkt,21.6,12.24
Hahn-Flughafen,Trocken,20.0,12.96
Kahler Asten,Stark Bewölkt,14.4,15.48
Köln-Wahn,Wolkig,21.2,9.72
Münster/Osnabrück-Flughafen,Wolkig,21.0,11.88
Nürburg-Barweiler,Stark Bewölkt,18.0,14.4
Offenbach/Wetterpark,Wolkig,24.6,9.36
Saarbrücken/Ensheim,Leicht Bewölkt,23.8,13.32
Trier-Petrisberg,Stark Bewölkt,24.2,10.08
Wasserkuppe,Wolkig,16.1,12.96
