Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,18.8,34.2
Bremen-Flughafen,Regen,18.5,16.2
Cuxhaven,Stark Bewölkt,19.4,17.64
Emden-Flughafen,Leichter Sprühregen,15.8,8.279999
Greifswald,Wolkig,20.7,15.12
Hamburg-Fuhlsbüttel,Wolkig,19.5,17.64
Hannover-Langenhagen,Stark Bewölkt,20.1,20.16
Helgoland,Stark Bewölkt,17.0,14.4
Kiel-Holtenau,Stark Bewölkt,18.8,16.92
List auf Sylt,Leicht Bewölkt,17.9,23.76
Marnitz,Regen,20.9,9.0
Norderney,Regen,17.2,27.0
Rostock-Warnemünde,Wolkig,18.8,16.56
Schleswig,Stark Bewölkt,19.2,11.16
Schwerin,Leicht Bewölkt,20.2,15.48
Westermarkelsdorf,Leicht Bewölkt,19.6,6.84
Angermünde,Wolkig,22.3,17.64
Berlin-Tegel,Wolkig,22.8,15.12
Brocken,Bedeckt,10.2,43.2
Cottbus,Stark Bewölkt,24.5,14.04
Dresden-Klotzsche,Stark Bewölkt,21.8,14.4
Erfurt-Bindersleben,Stark Bewölkt,20.5,24.48
Fichtelberg,Bedeckt,12.6,25.92
Gera-Leumnitz,Bedeckt,20.7,20.88
Görlitz,Bedeckt,21.1,14.04
Leipzig-Schkeuditz,Stark Bewölkt,22.6,14.04
Lindenberg,Stark Bewölkt,21.9,12.24
Magdeburg,Stark Bewölkt,22.7,12.6
Meiningen,Stark Bewölkt,18.9,17.28
Neuruppin-Alt Ruppin,Stark Bewölkt,21.6,10.44
Potsdam,Wolkig,23.3,11.88
Augsburg-Mühlhausen,Leichter Regen,14.9,11.88
Bamberg,Bedeckt,19.9,15.48
Feldberg/Schwarzwald,Sprühregen,7.3,7.2
Freudenstadt,Bedeckt,14.4,11.52
Fürstenzell,Sprühregen,14.9,12.96
Grosser Arber,Niederschlag,9.0,16.56
Hof Hohensaas,Bedeckt,17.9,14.4
Hohenpeissenberg,Leichter Regen,11.2,7.56
Kempten,Leichter Regen,13.2,3.6
Konstanz,Leichter Regen,14.7,2.52
Lahr,Bedeckt,20.5,13.32
Mannheim,Bedeckt,20.8,12.96
München-Flughafen,Leichter Regen,14.3,3.96
Nürnberg-Flughafen,Bedeckt,19.0,11.16
Oberstdorf,Regen,13.1,5.04
Oehringen,Bedeckt,19.9,13.32
Regensburg,Leichter Regen,17.0,5.76
Rheinstetten,Bedeckt,22.1,12.24
Straubing,Leichter Regen,16.3,4.68
Stuttgart-Echterdingen,Bedeckt,17.9,9.36
Weiden,Bedeckt,18.0,10.08
Würzburg,Bedeckt,21.4,21.96
Zugspitze,Nebel,2.0,22.32
Aachen,Wolkenlos,18.2,20.88
Bad Lippspringe,Wolkig,20.5,17.64
Düsseldorf-Flughafen,Wolkig,21.4,28.08
Frankfurt/M.-Flughafen,Stark Bewölkt,20.3,19.08
Fritzlar,Stark Bewölkt,19.3,25.2
Gießen Wettenberg,Regen,18.1,7.92
Hahn-Flughafen,Trocken,16.8,9.72
Kahler Asten,Stark Bewölkt,14.2,23.76
Köln-Wahn,Wolkig,20.7,15.12
Münster/Osnabrück-Flughafen,Wolkig,19.3,20.16
Nürburg-Barweiler,Wolkig,17.3,14.4
Offenbach/Wetterpark,Bedeckt,21.3,10.44
Saarbrücken/Ensheim,Wolkig,19.4,14.4
Trier-Petrisberg,Stark Bewölkt,20.8,10.44
Wasserkuppe,Stark Bewölkt,14.6,19.08
