Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,10.7,13.68
Bremen-Flughafen,Stark Bewölkt,15.0,14.76
Cuxhaven,Bedeckt,10.6,17.64
Emden-Flughafen,Bedeckt,11.2,13.32
Greifswald,Bedeckt,12.7,12.6
Hamburg-Fuhlsbüttel,Stark Bewölkt,15.4,8.279999
Hannover-Langenhagen,Bedeckt,18.0,3.6
Helgoland,Bedeckt,9.4,14.04
Kiel-Holtenau,Bedeckt,11.0,14.04
List auf Sylt,Stark Bewölkt,10.5,18.36
Marnitz,Stark Bewölkt,16.2,5.76
Norderney,Leichter Regen,9.0,19.08
Rostock-Warnemünde,Stark Bewölkt,10.5,12.96
Schleswig,Stark Bewölkt,14.1,5.76
Schwerin,Bedeckt,13.5,11.52
Westermarkelsdorf,Stark Bewölkt,10.4,15.12
Angermünde,Stark Bewölkt,20.6,7.56
Berlin-Tegel,Wolkig,22.0,5.76
Brocken,Sprühregen,10.8,24.84
Cottbus,Stark Bewölkt,23.6,11.16
Dresden-Klotzsche,Wolkig,23.2,12.6
Erfurt-Bindersleben,Stark Bewölkt,19.4,11.16
Fichtelberg,Stark Bewölkt,14.9,26.64
Gera-Leumnitz,Bedeckt,20.7,6.84
Görlitz,Stark Bewölkt,21.3,16.2
Leipzig-Schkeuditz,Bedeckt,21.6,12.96
Lindenberg,Stark Bewölkt,22.8,15.84
Magdeburg,Bedeckt,21.6,6.12
Meiningen,Leichter Sprühregen,12.0,9.36
Neuruppin-Alt Ruppin,Bedeckt,21.2,10.44
Potsdam,Stark Bewölkt,23.1,9.36
Augsburg-Mühlhausen,Bedeckt,17.9,16.2
Bamberg,Regen,17.6,5.04
Feldberg/Schwarzwald,-,10.0,27.0
Freudenstadt,Regen,12.7,15.84
Fürstenzell,Wolkig,21.9,6.12
Grosser Arber,Stark Bewölkt,13.4,12.6
Hof Hohensaas,Bedeckt,18.8,14.04
Hohenpeissenberg,Stark Bewölkt,14.9,10.08
Kempten,Regen,14.8,9.0
Konstanz,Sprühregen,14.8,5.76
Lahr,Starker Regen,14.3,13.68
Mannheim,Regen,17.2,21.6
München-Flughafen,Stark Bewölkt,19.4,12.24
Nürnberg-Flughafen,Niederschlag,17.6,11.52
Oberstdorf,Regen,15.5,11.88
Oehringen,Bedeckt,19.8,11.16
Regensburg,Bedeckt,21.5,7.92
Rheinstetten,Regen,15.8,18.72
Straubing,Stark Bewölkt,21.1,8.279999
Stuttgart-Echterdingen,Stark Bewölkt,16.6,17.28
Weiden,Stark Bewölkt,18.5,11.16
Würzburg,Regen,17.9,21.6
Zugspitze,Schneefall,-0.4,10.44
Aachen,Bedeckt,15.5,18.36
Bad Lippspringe,Regen,15.2,5.76
Düsseldorf-Flughafen,Regen,19.4,8.279999
Frankfurt/M.-Flughafen,Niederschlag,15.5,13.32
Fritzlar,Leichter Regen,14.8,3.6
Gießen Wettenberg,Regen,12.6,7.56
Hahn-Flughafen,Leichter Regen,13.0,25.2
Kahler Asten,Leichter Regen,11.3,12.24
Köln-Wahn,Stark Bewölkt,17.3,23.04
Münster/Osnabrück-Flughafen,Niederschlag,17.1,9.36
Nürburg-Barweiler,Leichter Regen,12.3,12.24
Offenbach/Wetterpark,Bedeckt,17.0,6.84
Saarbrücken/Ensheim,Leichter Regen,13.6,31.68
Trier-Petrisberg,Leichter Regen,13.6,25.92
Wasserkuppe,Sprühregen,10.0,20.88
