Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leichter Regen,14.9,43.56
Bremen-Flughafen,Niederschlag,15.8,7.92
Cuxhaven,Bedeckt,15.9,31.32
Emden-Flughafen,Sprühregen,14.8,12.24
Greifswald,Bedeckt,14.8,18.72
Hamburg-Fuhlsbüttel,Bedeckt,16.0,19.8
Hannover-Langenhagen,Bedeckt,16.0,6.84
Helgoland,Bedeckt,14.8,23.76
Kiel-Holtenau,Bedeckt,16.7,25.92
List auf Sylt,Bedeckt,15.1,17.28
Marnitz,Bedeckt,16.3,9.72
Norderney,Leichter Sprühregen,14.2,28.08
Rostock-Warnemünde,Bedeckt,16.7,28.44
Schleswig,Bedeckt,16.4,19.08
Schwerin,Bedeckt,17.1,15.12
Westermarkelsdorf,Bedeckt,16.4,20.16
Angermünde,Bedeckt,21.3,14.04
Berlin-Tegel,Niederschlag,18.1,6.48
Brocken,Feuchter Dunst,11.1,9.36
Cottbus,Bedeckt,21.1,6.48
Dresden-Klotzsche,Leichter Sprühregen,18.6,2.88
Erfurt-Bindersleben,Niederschlag,14.2,4.68
Fichtelberg,Sprühregen,10.5,12.96
Gera-Leumnitz,Feuchter Dunst,14.6,6.48
Görlitz,Bedeckt,20.1,5.04
Leipzig-Schkeuditz,Bedeckt,17.2,10.44
Lindenberg,Sprühregen,17.6,3.96
Magdeburg,Stark Bewölkt,17.4,7.92
Meiningen,Stark Bewölkt,14.0,11.16
Neuruppin-Alt Ruppin,Bedeckt,19.2,9.0
Potsdam,Feuchter Dunst,17.1,5.04
Augsburg-Mühlhausen,Bedeckt,16.2,6.12
Bamberg,Bedeckt,16.4,3.24
Feldberg/Schwarzwald,Nebel,7.2,8.64
Freudenstadt,Bedeckt,12.1,7.56
Fürstenzell,-,11.7,7.2
Grosser Arber,Stark Bewölkt,10.9,9.36
Hof Hohensaas,Leichter Sprühregen,13.3,5.76
Hohenpeissenberg,Stark Bewölkt,13.1,2.52
Kempten,Bedeckt,14.9,6.48
Konstanz,Bedeckt,18.2,8.64
Lahr,Stark Bewölkt,17.3,5.04
Mannheim,Bedeckt,16.7,4.32
München-Flughafen,Bedeckt,16.3,4.68
Nürnberg-Flughafen,Regen,17.7,3.24
Oberstdorf,Bedeckt,15.5,8.279999
Oehringen,Bedeckt,14.3,7.56
Regensburg,Sprühregen,19.3,6.12
Rheinstetten,Bedeckt,16.7,6.48
Straubing,Stark Bewölkt,18.2,7.2
Stuttgart-Echterdingen,Stark Bewölkt,14.3,3.96
Weiden,Stark Bewölkt,17.1,3.6
Würzburg,Sprühregen,14.2,5.04
Zugspitze,Gefrierender Nebel,-0.1,18.0
Aachen,Regen,17.1,7.56
Bad Lippspringe,Bedeckt,18.4,3.6
Düsseldorf-Flughafen,Niederschlag,16.2,5.76
Frankfurt/M.-Flughafen,Regen,18.4,10.8
Fritzlar,Bedeckt,17.6,7.2
Gießen Wettenberg,Stark Bewölkt,17.7,5.4
Hahn-Flughafen,Trocken,13.7,7.92
Kahler Asten,Bedeckt,12.5,9.0
Köln-Wahn,Stark Bewölkt,19.0,10.8
Münster/Osnabrück-Flughafen,Stark Bewölkt,18.3,7.92
Nürburg-Barweiler,Bedeckt,14.7,8.64
Offenbach/Wetterpark,Bedeckt,18.0,7.56
Saarbrücken/Ensheim,Stark Bewölkt,16.1,11.16
Trier-Petrisberg,Bedeckt,17.8,10.8
Wasserkuppe,Nebel,9.8,10.44
