Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Bedeckt,9.5,11.16
Bremen-Flughafen,Wolkig,12.0,3.24
Cuxhaven,Wolkig,12.7,5.04
Emden-Flughafen,Nebel,9.8,3.96
Greifswald,Wolkig,5.5,1.8
Hamburg-Fuhlsbüttel,Wolkig,10.2,5.4
Hannover-Langenhagen,Leicht Bewölkt,9.1,4.32
Helgoland,Nebel,10.0,7.56
Kiel-Holtenau,Wolkig,12.1,5.04
List auf Sylt,Nebel,8.4,3.96
Marnitz,Stark Bewölkt,6.0,3.6
Norderney,Nebel,11.1,9.36
Rostock-Warnemünde,Stark Bewölkt,10.1,9.72
Schleswig,Bedeckt,9.8,3.24
Schwerin,Bedeckt,10.6,2.16
Westermarkelsdorf,Stark Bewölkt,11.2,9.0
Angermünde,Leicht Bewölkt,6.6,5.04
Berlin-Tegel,Wolkenlos,10.9,5.4
Brocken,Bedeckt,6.5,16.92
Cottbus,Leicht Bewölkt,6.6,3.24
Dresden-Klotzsche,Wolkig,11.6,8.64
Erfurt-Bindersleben,Wolkenlos,11.1,4.32
Fichtelberg,Leicht Bewölkt,5.5,19.8
Gera-Leumnitz,Wolkig,10.0,6.48
Görlitz,Wolkenlos,7.5,2.52
Leipzig-Schkeuditz,Wolkig,9.3,8.279999
Lindenberg,Leicht Bewölkt,9.0,8.279999
Magdeburg,Stark Bewölkt,11.4,3.24
Meiningen,Stark Bewölkt,9.8,1.8
Neuruppin-Alt Ruppin,Bedeckt,6.5,0.0
Potsdam,Wolkig,9.9,11.88
Augsburg-Mühlhausen,Stark Bewölkt,10.1,3.6
Bamberg,Wolkenlos,9.8,2.16
Feldberg/Schwarzwald,Wolkenlos,9.8,27.72
Freudenstadt,Wolkenlos,12.0,2.88
Fürstenzell,Stark Bewölkt,12.0,14.4
Grosser Arber,Nebel,5.9,25.56
Hof Hohensaas,Wolkig,8.6,4.32
Hohenpeissenberg,Wolkig,12.3,9.36
Kempten,Leicht Bewölkt,8.6,5.4
Konstanz,Wolkenlos,14.5,3.96
Lahr,Wolkenlos,14.3,3.24
Mannheim,Stark Bewölkt,17.3,7.92
München-Flughafen,Leicht Bewölkt,8.5,1.8
Nürnberg-Flughafen,Stark Bewölkt,13.8,4.32
Oberstdorf,Wolkenlos,7.3,6.12
Oehringen,Bedeckt,14.7,6.12
Regensburg,Stark Bewölkt,10.7,0.0
Rheinstetten,Wolkenlos,15.0,8.64
Straubing,Stark Bewölkt,11.4,2.88
Stuttgart-Echterdingen,Leicht Bewölkt,12.8,3.6
Weiden,Bedeckt,11.5,5.4
Würzburg,Wolkig,13.3,5.4
Zugspitze,Wolkig,-3.1,11.16
Aachen,Wolkenlos,11.1,11.16
Bad Lippspringe,Wolkig,8.4,3.24
Düsseldorf-Flughafen,Flacher Nebel,9.9,3.6
Frankfurt/M.-Flughafen,Leicht Bewölkt,15.9,15.84
Fritzlar,Wolkig,9.8,3.6
Gießen Wettenberg,Wolkenlos,12.6,7.2
Hahn-Flughafen,Trocken,12.9,11.52
Kahler Asten,Leicht Bewölkt,8.9,16.2
Köln-Wahn,Wolkenlos,13.8,6.48
Münster/Osnabrück-Flughafen,Leicht Bewölkt,9.8,1.8
Nürburg-Barweiler,Wolkenlos,12.0,0.0
Offenbach/Wetterpark,Stark Bewölkt,14.6,4.68
Saarbrücken/Ensheim,Stark Bewölkt,15.3,12.6
Trier-Petrisberg,Wolkenlos,14.1,11.52
Wasserkuppe,Wolkig,8.3,14.4
