Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,16.6,21.96
Bremen-Flughafen,Wolkig,20.2,15.12
Cuxhaven,Stark Bewölkt,14.5,20.16
Emden-Flughafen,Stark Bewölkt,17.8,19.8
Greifswald,Wolkig,19.4,11.88
Hamburg-Fuhlsbüttel,Stark Bewölkt,19.2,17.28
Hannover-Langenhagen,Wolkig,20.5,10.8
Helgoland,Bedeckt,12.9,24.84
Kiel-Holtenau,Bedeckt,17.5,11.88
List auf Sylt,Stark Bewölkt,14.7,42.12
Marnitz,Wolkig,21.6,10.44
Norderney,Bedeckt,12.9,25.92
Rostock-Warnemünde,Stark Bewölkt,15.0,19.44
Schleswig,Stark Bewölkt,17.7,13.68
Schwerin,Stark Bewölkt,19.5,12.6
Westermarkelsdorf,Bedeckt,14.1,23.04
Angermünde,Stark Bewölkt,20.7,9.0
Berlin-Tegel,Niederschlag,20.7,9.72
Brocken,Stark Bewölkt,12.6,10.44
Cottbus,Leicht Bewölkt,20.9,7.92
Dresden-Klotzsche,Wolkig,19.0,11.88
Erfurt-Bindersleben,Wolkig,18.5,7.56
Fichtelberg,Stark Bewölkt,10.2,20.88
Gera-Leumnitz,Wolkig,20.1,5.76
Görlitz,Leicht Bewölkt,18.6,9.72
Leipzig-Schkeuditz,Stark Bewölkt,19.7,9.36
Lindenberg,Wolkenlos,19.7,10.8
Magdeburg,Wolkig,21.7,12.96
Meiningen,Wolkig,18.3,3.96
Neuruppin-Alt Ruppin,Wolkig,21.0,7.56
Potsdam,Leicht Bewölkt,21.4,12.24
Augsburg-Mühlhausen,Trocken,18.6,10.08
Bamberg,Stark Bewölkt,20.2,4.32
Feldberg/Schwarzwald,Leicht Bewölkt,10.7,14.04
Freudenstadt,Stark Bewölkt,16.1,10.44
Fürstenzell,Leicht Bewölkt,18.1,8.279999
Grosser Arber,Stark Bewölkt,9.9,16.2
Hof Hohensaas,Stark Bewölkt,16.5,6.12
Hohenpeissenberg,Wolkig,14.5,13.32
Kempten,Wolkenlos,18.4,11.16
Konstanz,Stark Bewölkt,21.7,12.6
Lahr,Wolkig,21.4,13.32
Mannheim,Stark Bewölkt,20.6,9.72
München-Flughafen,Leicht Bewölkt,17.6,10.08
Nürnberg-Flughafen,Wolkig,18.7,7.2
Oberstdorf,Wolkenlos,18.4,15.48
Oehringen,Wolkig,21.8,9.0
Regensburg,Wolkig,19.0,6.84
Rheinstetten,Wolkenlos,21.8,12.96
Straubing,Stark Bewölkt,17.9,4.68
Stuttgart-Echterdingen,Leicht Bewölkt,19.4,14.04
Weiden,Stark Bewölkt,17.8,7.92
Würzburg,Wolkig,21.2,6.84
Zugspitze,Wolkenlos,-2.3,16.56
Aachen,Wolkenlos,21.3,9.72
Bad Lippspringe,Wolkig,21.2,10.08
Düsseldorf-Flughafen,Leicht Bewölkt,23.4,9.0
Frankfurt/M.-Flughafen,Leicht Bewölkt,22.4,5.76
Fritzlar,Wolkig,20.6,7.2
Gießen Wettenberg,Wolkenlos,20.6,7.92
Hahn-Flughafen,Trocken,18.0,4.32
Kahler Asten,Stark Bewölkt,15.5,6.48
Köln-Wahn,Leicht Bewölkt,22.7,10.44
Münster/Osnabrück-Flughafen,Stark Bewölkt,21.8,10.8
Nürburg-Barweiler,Wolkenlos,19.6,5.4
Offenbach/Wetterpark,Stark Bewölkt,21.1,7.56
Saarbrücken/Ensheim,Stark Bewölkt,19.6,12.6
Trier-Petrisberg,Wolkenlos,22.4,14.04
Wasserkuppe,Wolkig,15.6,5.4
