Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leicht Bewölkt,8.8,20.88
Bremen-Flughafen,Niederschlag,16.8,21.24
Cuxhaven,Stark Bewölkt,10.5,19.08
Emden-Flughafen,Wolkenlos,15.8,14.04
Greifswald,Wolkig,13.2,19.8
Hamburg-Fuhlsbüttel,Leicht Bewölkt,15.3,22.68
Hannover-Langenhagen,Leicht Bewölkt,16.9,10.44
Helgoland,Bedeckt,8.5,23.4
Kiel-Holtenau,Stark Bewölkt,12.4,14.76
List auf Sylt,Wolkenlos,9.2,36.72
Marnitz,Stark Bewölkt,15.2,15.48
Norderney,Bedeckt,9.6,12.24
Rostock-Warnemünde,Wolkig,9.8,23.04
Schleswig,Wolkenlos,13.2,18.0
Schwerin,Bedeckt,13.9,18.0
Westermarkelsdorf,Wolkenlos,9.1,24.48
Angermünde,Wolkenlos,16.6,24.12
Berlin-Tegel,Wolkig,16.4,23.4
Brocken,Wolkig,10.4,16.92
Cottbus,Bedeckt,17.9,11.52
Dresden-Klotzsche,Wolkenlos,16.6,18.72
Erfurt-Bindersleben,Wolkig,17.2,10.8
Fichtelberg,Wolkenlos,13.1,27.0
Gera-Leumnitz,Wolkenlos,17.0,11.52
Görlitz,Wolkenlos,19.2,14.4
Leipzig-Schkeuditz,Wolkenlos,16.1,11.52
Lindenberg,Wolkig,16.9,16.56
Magdeburg,Leicht Bewölkt,18.3,7.56
Meiningen,Leicht Bewölkt,19.4,15.84
Neuruppin-Alt Ruppin,Wolkig,16.4,17.64
Potsdam,Leicht Bewölkt,17.5,22.32
Augsburg-Mühlhausen,Wolkenlos,19.6,9.36
Bamberg,Wolkenlos,21.2,7.92
Feldberg/Schwarzwald,Leicht Bewölkt,11.6,14.04
Freudenstadt,Wolkenlos,16.7,17.28
Fürstenzell,Wolkenlos,18.8,12.24
Grosser Arber,Niederschlag,10.9,15.84
Hof Hohensaas,Wolkenlos,18.3,14.76
Hohenpeissenberg,Wolkenlos,15.1,10.08
Kempten,Wolkenlos,18.0,7.92
Konstanz,Wolkenlos,18.7,5.4
Lahr,Wolkenlos,21.7,8.64
Mannheim,Wolkenlos,21.7,5.4
München-Flughafen,Leicht Bewölkt,19.9,18.0
Nürnberg-Flughafen,Leicht Bewölkt,20.9,15.84
Oberstdorf,Wolkig,17.6,9.0
Oehringen,Wolkenlos,21.1,9.36
Regensburg,Wolkenlos,20.8,7.2
Rheinstetten,Wolkenlos,22.6,2.88
Straubing,Wolkenlos,19.4,8.279999
Stuttgart-Echterdingen,Niederschlag,20.4,4.32
Weiden,Leicht Bewölkt,19.4,15.12
Würzburg,Wolkenlos,22.1,6.84
Zugspitze,Stark Bewölkt,-2.0,5.76
Aachen,Wolkenlos,18.8,12.24
Bad Lippspringe,Wolkenlos,17.3,8.279999
Düsseldorf-Flughafen,Leicht Bewölkt,19.7,18.0
Frankfurt/M.-Flughafen,Leicht Bewölkt,22.7,4.32
Fritzlar,Leicht Bewölkt,18.1,10.8
Gießen Wettenberg,Wolkenlos,22.2,4.68
Hahn-Flughafen,Trocken,19.3,7.56
Kahler Asten,Stark Bewölkt,16.1,16.2
Köln-Wahn,Leicht Bewölkt,21.7,8.279999
Münster/Osnabrück-Flughafen,Leicht Bewölkt,17.5,9.72
Nürburg-Barweiler,Wolkig,19.2,9.72
Offenbach/Wetterpark,Wolkenlos,22.1,3.96
Saarbrücken/Ensheim,Stark Bewölkt,21.0,5.04
Trier-Petrisberg,Wolkenlos,22.4,5.76
Wasserkuppe,Wolkenlos,17.1,13.32
