Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,3.4,10.08
Bremen-Flughafen,Leicht Bewölkt,7.2,21.6
Cuxhaven,Wolkenlos,7.7,18.36
Emden-Flughafen,Wolkenlos,7.9,28.8
Greifswald,Wolkenlos,4.7,18.36
Hamburg-Fuhlsbüttel,Wolkenlos,6.6,18.72
Hannover-Langenhagen,Wolkenlos,6.5,19.44
Helgoland,Trockener Dunst,6.8,20.88
Kiel-Holtenau,Wolkenlos,6.7,13.32
List auf Sylt,Wolkenlos,6.2,30.24
Marnitz,Wolkenlos,5.9,10.08
Norderney,Wolkenlos,8.3,21.6
Rostock-Warnemünde,Wolkenlos,6.0,10.44
Schleswig,Wolkenlos,6.7,14.76
Schwerin,Wolkenlos,6.1,11.52
Westermarkelsdorf,Wolkenlos,4.4,18.36
Angermünde,Wolkenlos,5.5,12.24
Berlin-Tegel,Wolkenlos,5.5,14.76
Brocken,Wolkenlos,-3.5,20.16
Cottbus,Wolkenlos,5.6,11.52
Dresden-Klotzsche,Wolkenlos,4.0,17.64
Erfurt-Bindersleben,Wolkenlos,3.8,17.28
Fichtelberg,Wolkenlos,-3.2,15.12
Gera-Leumnitz,-,15.7,20.16
Görlitz,Wolkenlos,3.7,16.56
Leipzig-Schkeuditz,Wolkenlos,4.6,18.36
Lindenberg,Wolkenlos,5.5,9.36
Magdeburg,Wolkenlos,6.7,11.88
Meiningen,Wolkenlos,5.2,14.04
Neuruppin-Alt Ruppin,Wolkenlos,6.0,10.08
Potsdam,Wolkenlos,6.4,10.8
Augsburg-Mühlhausen,Wolkenlos,3.2,21.24
Bamberg,Wolkenlos,6.4,15.12
Feldberg/Schwarzwald,Leicht Bewölkt,-2.4,38.88
Freudenstadt,Wolkenlos,2.0,20.88
Fürstenzell,Wolkenlos,2.6,24.12
Grosser Arber,Leicht Bewölkt,-7.5,11.52
Hof Hohensaas,Wolkenlos,2.9,14.4
Hohenpeissenberg,Wolkenlos,-0.8,23.76
Kempten,Wolkenlos,3.3,15.48
Konstanz,Wolkenlos,7.0,21.6
Lahr,Wolkenlos,10.2,18.0
Mannheim,Wolkenlos,8.1,20.88
München-Flughafen,Leicht Bewölkt,2.9,21.24
Nürnberg-Flughafen,Wolkenlos,5.4,16.2
Oberstdorf,Wolkenlos,4.8,19.44
Oehringen,Wolkenlos,6.5,19.44
Regensburg,Wolkenlos,4.8,12.6
Rheinstetten,Trocken,7.9,25.92
Straubing,Wolkenlos,4.2,15.12
Stuttgart-Echterdingen,Wolkenlos,5.1,25.56
Weiden,Wolkenlos,3.6,15.12
Würzburg,Wolkenlos,6.6,20.16
Zugspitze,Schneegriesel,-13.,11.16
Aachen,Wolkenlos,9.1,22.32
Bad Lippspringe,Wolkenlos,7.1,16.92
Düsseldorf-Flughafen,Wolkenlos,10.0,26.28
Frankfurt/M.-Flughafen,Wolkenlos,8.3,24.48
Fritzlar,Wolkenlos,6.7,18.0
Gießen Wettenberg,Wolkenlos,7.3,16.2
Hahn-Flughafen,Trocken,4.9,24.48
Kahler Asten,Wolkenlos,1.9,26.64
Köln-Wahn,Wolkenlos,9.6,26.64
Münster/Osnabrück-Flughafen,Wolkenlos,8.1,13.68
Nürburg-Barweiler,Wolkenlos,5.3,19.8
Offenbach/Wetterpark,Wolkenlos,7.9,12.6
Saarbrücken/Ensheim,Wolkenlos,7.1,27.0
Trier-Petrisberg,Wolkenlos,9.3,16.92
Wasserkuppe,Wolkenlos,1.7,17.28
