Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,18.8,21.24
Bremen-Flughafen,Stark Bewölkt,24.1,12.6
Cuxhaven,Niederschlag,20.0,11.52
Emden-Flughafen,Leicht Bewölkt,23.8,7.56
Greifswald,Leicht Bewölkt,24.0,19.44
Hamburg-Fuhlsbüttel,Wolkig,24.6,9.0
Hannover-Langenhagen,Wolkig,23.6,11.52
Helgoland,Bedeckt,17.6,12.96
Kiel-Holtenau,Wolkenlos,22.6,14.4
List auf Sylt,Stark Bewölkt,21.2,11.16
Marnitz,Wolkenlos,25.4,9.36
Norderney,Bedeckt,21.1,23.04
Rostock-Warnemünde,Wolkenlos,17.6,12.6
Schleswig,Stark Bewölkt,23.5,4.32
Schwerin,Wolkig,23.8,11.88
Westermarkelsdorf,Wolkenlos,18.7,15.12
Angermünde,Wolkenlos,26.4,17.64
Berlin-Tegel,Leicht Bewölkt,26.0,10.44
Brocken,Wolkenlos,16.2,16.2
Cottbus,Regen,20.1,9.0
Dresden-Klotzsche,Wolkenlos,21.5,13.68
Erfurt-Bindersleben,Leicht Bewölkt,22.0,2.88
Fichtelberg,Wolkenlos,14.2,17.64
Gera-Leumnitz,Wolkenlos,21.8,9.0
Görlitz,Wolkig,19.6,7.2
Leipzig-Schkeuditz,Wolkenlos,22.7,7.92
Lindenberg,Stark Bewölkt,23.8,10.8
Magdeburg,Wolkenlos,24.6,5.04
Meiningen,Wolkenlos,22.3,8.64
Neuruppin-Alt Ruppin,Wolkenlos,25.4,12.96
Potsdam,Leicht Bewölkt,25.2,14.4
Augsburg-Mühlhausen,Wolkenlos,22.3,9.36
Bamberg,Wolkenlos,24.2,7.56
Feldberg/Schwarzwald,Stark Bewölkt,14.6,17.28
Freudenstadt,Leicht Bewölkt,20.7,10.08
Fürstenzell,Stark Bewölkt,21.2,6.48
Grosser Arber,Leicht Bewölkt,14.1,13.68
Hof Hohensaas,Wolkenlos,20.0,11.52
Hohenpeissenberg,Leicht Bewölkt,17.6,9.72
Kempten,Wolkenlos,22.0,8.279999
Konstanz,Leicht Bewölkt,24.6,9.0
Lahr,Stark Bewölkt,26.3,17.28
Mannheim,Stark Bewölkt,26.1,9.36
München-Flughafen,Leicht Bewölkt,21.6,8.279999
Nürnberg-Flughafen,Leicht Bewölkt,24.2,11.16
Oberstdorf,Wolkenlos,22.3,16.2
Oehringen,Leicht Bewölkt,25.3,9.72
Regensburg,Wolkenlos,24.5,8.64
Rheinstetten,Wolkenlos,25.9,11.16
Straubing,Wolkenlos,22.1,7.2
Stuttgart-Echterdingen,Niederschlag,24.2,9.36
Weiden,Wolkenlos,23.4,10.08
Würzburg,Wolkenlos,24.4,14.76
Zugspitze,Stark Bewölkt,1.3,7.92
Aachen,Leicht Bewölkt,24.9,7.2
Bad Lippspringe,Wolkig,23.9,10.44
Düsseldorf-Flughafen,Stark Bewölkt,27.1,13.68
Frankfurt/M.-Flughafen,Wolkig,26.2,12.24
Fritzlar,Wolkig,23.6,7.2
Gießen Wettenberg,Wolkenlos,24.5,10.8
Hahn-Flughafen,Trocken,22.6,11.52
Kahler Asten,Wolkig,19.4,11.88
Köln-Wahn,Wolkig,26.6,14.4
Münster/Osnabrück-Flughafen,Stark Bewölkt,25.3,11.52
Nürburg-Barweiler,Bedeckt,23.7,8.279999
Offenbach/Wetterpark,Stark Bewölkt,25.0,10.08
Saarbrücken/Ensheim,Stark Bewölkt,24.6,12.6
Trier-Petrisberg,Bedeckt,26.2,8.64
Wasserkuppe,Wolkenlos,19.3,7.92
