Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Sprühregen,18.5,36.0
Bremen-Flughafen,Niederschlag,19.5,31.32
Cuxhaven,Stark Bewölkt,19.4,29.16
Emden-Flughafen,Stark Bewölkt,19.5,24.84
Greifswald,Sprühregen,21.6,21.96
Hamburg-Fuhlsbüttel,Leichter Sprühregen,19.1,31.68
Hannover-Langenhagen,Niederschlag,21.2,29.52
Helgoland,Sprühregen,16.9,37.8
Kiel-Holtenau,Sprühregen,19.0,37.44
List auf Sylt,Wolkig,17.8,59.76
Marnitz,Stark Bewölkt,21.6,17.64
Norderney,Stark Bewölkt,19.3,37.08
Rostock-Warnemünde,Bedeckt,19.3,27.0
Schleswig,Stark Bewölkt,17.7,23.76
Schwerin,Regen,19.1,29.16
Westermarkelsdorf,Bedeckt,18.8,31.68
Angermünde,Stark Bewölkt,25.1,24.12
Berlin-Tegel,Stark Bewölkt,25.9,31.32
Brocken,Nebel,13.6,61.56
Cottbus,Bedeckt,25.7,20.52
Dresden-Klotzsche,Bedeckt,25.3,29.52
Erfurt-Bindersleben,Stark Bewölkt,21.4,33.12
Fichtelberg,Bedeckt,16.3,43.2
Gera-Leumnitz,Bedeckt,23.5,26.64
Görlitz,Stark Bewölkt,24.8,20.16
Leipzig-Schkeuditz,Bedeckt,24.4,39.96
Lindenberg,Bedeckt,24.9,30.24
Magdeburg,Stark Bewölkt,25.8,22.32
Meiningen,Bedeckt,19.5,18.0
Neuruppin-Alt Ruppin,Bedeckt,24.1,24.12
Potsdam,Stark Bewölkt,25.9,27.0
Augsburg-Mühlhausen,Wolkig,24.7,21.6
Bamberg,Stark Bewölkt,23.3,11.88
Feldberg/Schwarzwald,Wolkig,13.9,44.64
Freudenstadt,Stark Bewölkt,20.7,21.96
Fürstenzell,-,12.2,5.04
Grosser Arber,Stark Bewölkt,15.3,38.16
Hof Hohensaas,Bedeckt,19.8,18.0
Hohenpeissenberg,Wolkig,22.3,20.52
Kempten,Wolkenlos,24.2,11.16
Konstanz,Wolkenlos,25.7,16.2
Lahr,Stark Bewölkt,25.7,16.56
Mannheim,Bedeckt,24.1,18.0
München-Flughafen,Wolkig,25.5,26.64
Nürnberg-Flughafen,Stark Bewölkt,24.2,32.04
Oberstdorf,Stark Bewölkt,24.8,9.72
Oehringen,-,17.8,3.6
Regensburg,Stark Bewölkt,24.8,14.76
Rheinstetten,Stark Bewölkt,24.7,21.24
Straubing,Wolkig,25.5,19.44
Stuttgart-Echterdingen,Wolkig,25.0,25.2
Weiden,Bedeckt,22.9,15.12
Würzburg,Bedeckt,22.8,29.52
Zugspitze,Bedeckt,6.6,16.2
Aachen,Stark Bewölkt,20.6,34.92
Bad Lippspringe,Regen,21.3,19.8
Düsseldorf-Flughafen,Niederschlag,22.4,43.2
Frankfurt/M.-Flughafen,Stark Bewölkt,24.1,32.04
Fritzlar,Stark Bewölkt,23.1,25.2
Gießen Wettenberg,Wolkig,24.9,37.44
Hahn-Flughafen,Leichter Sprühregen,18.6,32.04
Kahler Asten,Stark Bewölkt,18.1,36.36
Köln-Wahn,Stark Bewölkt,25.0,25.92
Münster/Osnabrück-Flughafen,Regen,18.9,20.52
Nürburg-Barweiler,Stark Bewölkt,21.9,25.2
Offenbach/Wetterpark,Bedeckt,24.2,18.36
Saarbrücken/Ensheim,Bedeckt,20.5,25.92
Trier-Petrisberg,Regen,22.0,25.92
Wasserkuppe,Stark Bewölkt,15.6,38.16
