Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,18.4,18.0
Bremen-Flughafen,Wolkig,23.8,16.2
Cuxhaven,Wolkenlos,20.1,23.76
Emden-Flughafen,Wolkenlos,20.9,19.8
Greifswald,Wolkig,20.7,19.8
Hamburg-Fuhlsbüttel,Leicht Bewölkt,22.2,24.48
Hannover-Langenhagen,Leicht Bewölkt,23.2,19.8
Helgoland,Wolkenlos,18.0,12.6
Kiel-Holtenau,Stark Bewölkt,20.8,18.36
List auf Sylt,Wolkenlos,18.5,28.8
Marnitz,Wolkig,22.6,16.92
Norderney,Wolkenlos,18.3,13.32
Rostock-Warnemünde,Wolkenlos,19.0,21.6
Schleswig,Leicht Bewölkt,22.9,19.08
Schwerin,Leicht Bewölkt,21.9,17.28
Westermarkelsdorf,Wolkenlos,19.4,18.36
Angermünde,Stark Bewölkt,24.3,25.56
Berlin-Tegel,Wolkig,25.7,23.4
Brocken,Bedeckt,13.8,20.88
Cottbus,Stark Bewölkt,26.2,12.96
Dresden-Klotzsche,Wolkig,24.7,18.0
Erfurt-Bindersleben,Stark Bewölkt,19.8,18.36
Fichtelberg,Wolkig,16.5,29.52
Gera-Leumnitz,Bedeckt,21.6,9.0
Görlitz,Wolkig,23.3,16.56
Leipzig-Schkeuditz,Stark Bewölkt,22.6,20.52
Lindenberg,Wolkenlos,25.1,13.68
Magdeburg,Bedeckt,23.4,8.279999
Meiningen,Regen,20.2,17.64
Neuruppin-Alt Ruppin,Wolkig,24.1,13.68
Potsdam,Wolkig,25.2,23.4
Augsburg-Mühlhausen,Stark Bewölkt,22.2,9.36
Bamberg,Stark Bewölkt,22.9,14.4
Feldberg/Schwarzwald,Stark Bewölkt,12.2,10.8
Freudenstadt,Wolkenlos,19.6,13.32
Fürstenzell,-,15.9,17.64
Grosser Arber,Niederschlag,13.7,19.44
Hof Hohensaas,Bedeckt,21.3,10.8
Hohenpeissenberg,Regen,15.7,7.2
Kempten,Stark Bewölkt,19.0,6.84
Konstanz,Stark Bewölkt,21.7,11.52
Lahr,Wolkenlos,23.3,11.52
Mannheim,Wolkig,23.4,11.52
München-Flughafen,Wolkig,22.3,23.04
Nürnberg-Flughafen,Wolkig,23.4,12.6
Oberstdorf,Bedeckt,18.8,3.24
Oehringen,Wolkenlos,23.2,15.84
Regensburg,Stark Bewölkt,24.0,6.12
Rheinstetten,Wolkenlos,23.3,11.52
Straubing,Stark Bewölkt,24.9,12.24
Stuttgart-Echterdingen,Leicht Bewölkt,23.2,12.24
Weiden,Stark Bewölkt,23.5,6.84
Würzburg,Stark Bewölkt,23.5,12.24
Zugspitze,Nebel,1.3,9.72
Aachen,Leicht Bewölkt,18.6,10.8
Bad Lippspringe,Stark Bewölkt,20.5,8.64
Düsseldorf-Flughafen,Leicht Bewölkt,20.5,6.84
Frankfurt/M.-Flughafen,Leichter Regen,23.1,11.16
Fritzlar,Bedeckt,18.3,7.2
Gießen Wettenberg,Wolkig,21.0,17.28
Hahn-Flughafen,Leichter Sprühregen,18.0,12.24
Kahler Asten,Stark Bewölkt,14.9,17.64
Köln-Wahn,Wolkig,18.7,8.64
Münster/Osnabrück-Flughafen,Wolkig,22.5,9.72
Nürburg-Barweiler,Wolkig,17.6,12.6
Offenbach/Wetterpark,Stark Bewölkt,22.2,7.56
Saarbrücken/Ensheim,Leicht Bewölkt,19.6,14.04
Trier-Petrisberg,Leicht Bewölkt,22.0,10.8
Wasserkuppe,Stark Bewölkt,15.6,21.96
