Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkig,21.8,20.88
Bremen-Flughafen,Niederschlag,23.2,10.44
Cuxhaven,Wolkig,22.3,16.92
Emden-Flughafen,Wolkig,21.9,10.08
Greifswald,Leichtes Gewitter,22.5,9.36
Hamburg-Fuhlsbüttel,Stark Bewölkt,24.0,15.84
Hannover-Langenhagen,Wolkig,23.6,8.64
Helgoland,Stark Bewölkt,22.1,12.96
Kiel-Holtenau,Stark Bewölkt,25.1,18.0
List auf Sylt,Stark Bewölkt,21.9,25.56
Marnitz,Bedeckt,23.3,7.56
Norderney,Stark Bewölkt,21.8,10.44
Rostock-Warnemünde,Bedeckt,20.4,8.64
Schleswig,Stark Bewölkt,24.7,13.32
Schwerin,Bedeckt,24.2,5.76
Westermarkelsdorf,Regen,21.7,7.92
Angermünde,Bedeckt,25.1,19.44
Berlin-Tegel,Stark Bewölkt,24.4,9.36
Brocken,Wolkig,16.2,30.24
Cottbus,Stark Bewölkt,22.8,6.12
Dresden-Klotzsche,Stark Bewölkt,23.0,9.72
Erfurt-Bindersleben,Wolkig,24.2,16.56
Fichtelberg,Stark Bewölkt,15.5,28.44
Gera-Leumnitz,Wolkig,21.6,7.2
Görlitz,Stark Bewölkt,21.3,6.48
Leipzig-Schkeuditz,Bedeckt,20.7,3.6
Lindenberg,Bedeckt,22.7,13.32
Magdeburg,Bedeckt,25.0,5.4
Meiningen,Stark Bewölkt,22.2,16.56
Neuruppin-Alt Ruppin,Bedeckt,23.4,5.04
Potsdam,Bedeckt,24.5,12.6
Augsburg-Mühlhausen,Stark Bewölkt,21.5,4.32
Bamberg,Leicht Bewölkt,26.1,16.2
Feldberg/Schwarzwald,Wolkig,13.4,14.4
Freudenstadt,Bedeckt,21.6,12.24
Fürstenzell,Bedeckt,20.8,5.4
Grosser Arber,Stark Bewölkt,14.1,27.72
Hof Hohensaas,Stark Bewölkt,22.7,15.84
Hohenpeissenberg,Wolkenlos,21.0,14.04
Kempten,Wolkig,23.0,9.36
Konstanz,Bedeckt,22.4,6.84
Lahr,Bedeckt,23.7,12.96
Mannheim,Regen,24.8,1.8
München-Flughafen,Leichter Regen,17.6,17.28
Nürnberg-Flughafen,Wolkig,24.5,20.88
Oberstdorf,Stark Bewölkt,22.0,5.4
Oehringen,Niederschlag,24.1,16.2
Regensburg,Stark Bewölkt,26.7,9.0
Rheinstetten,Wolkig,26.6,10.8
Straubing,Bedeckt,21.8,12.96
Stuttgart-Echterdingen,Regenschauer,24.5,6.84
Weiden,Stark Bewölkt,22.0,19.44
Würzburg,Leicht Bewölkt,25.9,14.04
Zugspitze,Nebel,2.7,14.04
Aachen,Stark Bewölkt,21.8,13.68
Bad Lippspringe,Wolkig,22.6,15.12
Düsseldorf-Flughafen,Wolkig,24.0,19.8
Frankfurt/M.-Flughafen,Wolkig,25.8,11.88
Fritzlar,Gewitter,19.5,3.6
Gießen Wettenberg,Wolkenlos,24.8,16.56
Hahn-Flughafen,Trocken,21.0,9.36
Kahler Asten,Stark Bewölkt,17.8,21.24
Köln-Wahn,Niederschlag,24.3,9.0
Münster/Osnabrück-Flughafen,Stark Bewölkt,24.5,16.2
Nürburg-Barweiler,Stark Bewölkt,19.5,18.36
Offenbach/Wetterpark,Wolkig,26.4,10.08
Saarbrücken/Ensheim,Stark Bewölkt,23.3,18.36
Trier-Petrisberg,Regen,22.9,10.8
Wasserkuppe,Wolkig,20.3,16.92
