Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Wolkenlos,8.7,8.279999
Bremen-Flughafen,Wolkenlos,14.5,27.36
Cuxhaven,Wolkenlos,11.7,34.2
Emden-Flughafen,Wolkenlos,14.1,27.36
Greifswald,Leicht Bewölkt,10.1,22.68
Hamburg-Fuhlsbüttel,Leicht Bewölkt,13.3,29.88
Hannover-Langenhagen,Wolkenlos,13.8,24.84
Helgoland,Wolkenlos,10.8,23.4
Kiel-Holtenau,Wolkenlos,11.1,32.4
List auf Sylt,Leicht Bewölkt,13.4,21.24
Marnitz,Wolkenlos,11.3,24.84
Norderney,Wolkenlos,10.8,35.64
Rostock-Warnemünde,Wolkenlos,12.0,21.96
Schleswig,Wolkenlos,10.8,25.2
Schwerin,Wolkenlos,11.5,23.4
Westermarkelsdorf,Wolkenlos,10.0,24.84
Angermünde,Wolkenlos,11.7,20.16
Berlin-Tegel,Wolkenlos,11.7,17.28
Brocken,Wolkenlos,3.4,29.52
Cottbus,Wolkenlos,13.9,10.08
Dresden-Klotzsche,Wolkenlos,12.3,25.56
Erfurt-Bindersleben,Leicht Bewölkt,11.4,19.08
Fichtelberg,Bedeckt,5.9,16.92
Gera-Leumnitz,Wolkenlos,11.8,19.8
Görlitz,Wolkenlos,12.7,18.0
Leipzig-Schkeuditz,Wolkenlos,13.2,19.08
Lindenberg,Wolkenlos,11.4,10.8
Magdeburg,Wolkenlos,14.6,11.88
Meiningen,Bedeckt,10.8,16.2
Neuruppin-Alt Ruppin,Wolkenlos,11.6,13.68
Potsdam,Wolkenlos,13.4,18.72
Augsburg-Mühlhausen,Wolkig,18.8,9.36
Bamberg,Stark Bewölkt,15.7,16.92
Feldberg/Schwarzwald,Wolkig,10.9,18.0
Freudenstadt,Wolkig,16.2,12.6
Fürstenzell,Leichter Regen,14.6,24.48
Grosser Arber,Nebel,4.7,6.84
Hof Hohensaas,Bedeckt,10.0,13.32
Hohenpeissenberg,Wolkig,14.2,11.16
Kempten,Wolkenlos,18.4,6.84
Konstanz,Bedeckt,21.4,6.48
Lahr,Wolkenlos,20.9,17.64
Mannheim,Wolkenlos,19.8,10.08
München-Flughafen,Wolkig,18.0,11.52
Nürnberg-Flughafen,Wolkig,16.4,12.24
Oberstdorf,Bedeckt,18.3,17.28
Oehringen,Wolkig,18.3,9.0
Regensburg,Leicht Bewölkt,18.0,9.36
Rheinstetten,Leicht Bewölkt,20.5,14.04
Straubing,Leicht Bewölkt,17.8,11.88
Stuttgart-Echterdingen,Wolkig,17.5,12.96
Weiden,Bedeckt,12.4,15.12
Würzburg,Leicht Bewölkt,17.3,19.44
Zugspitze,Nebel,-0.9,10.44
Aachen,Feuchter Dunst,10.0,14.76
Bad Lippspringe,Wolkenlos,14.1,24.84
Düsseldorf-Flughafen,Stark Bewölkt,16.2,16.2
Frankfurt/M.-Flughafen,Wolkig,17.5,19.8
Fritzlar,-,13.7,7.2
Gießen Wettenberg,Stark Bewölkt,11.6,21.96
Hahn-Flughafen,Trocken,13.2,17.28
Kahler Asten,Feuchter Dunst,8.8,15.84
Köln-Wahn,Feuchter Dunst,13.1,9.0
Münster/Osnabrück-Flughafen,Wolkenlos,15.0,21.24
Nürburg-Barweiler,Leichter Sprühregen,9.9,12.24
Offenbach/Wetterpark,Bedeckt,16.3,11.88
Saarbrücken/Ensheim,Niederschlag,17.2,8.279999
Trier-Petrisberg,Wolkenlos,16.5,19.44
Wasserkuppe,Bedeckt,6.6,20.16
