Station,Wetter,Temperatur,Windgeschwindigkeit
Arkona,Leichter Regen,16.3,32.04
Bremen-Flughafen,Niederschlag,16.3,44.64
Cuxhaven,Leichter Sprühregen,18.4,41.4
Emden-Flughafen,Leichter Regen,17.0,38.16
Greifswald,Leichter Regen,15.9,14.76
Hamburg-Fuhlsbüttel,Leichter Sprühregen,16.6,37.44
Hannover-Langenhagen,Regenschauer,17.4,41.76
Helgoland,Stark Bewölkt,18.8,35.64
Kiel-Holtenau,Regen,16.3,20.16
List auf Sylt,Stark Bewölkt,18.7,32.4
Marnitz,Leichter Regen,15.6,22.32
Norderney,Bedeckt,18.7,47.16
Rostock-Warnemünde,Leichter Regen,16.3,19.44
Schleswig,Leichter Regen,18.2,12.96
Schwerin,Leichter Regen,16.1,29.16
Westermarkelsdorf,Leichter Sprühregen,17.5,19.8
Angermünde,Sprühregen,15.6,27.0
Berlin-Tegel,Niederschlag,16.4,30.6
Brocken,Stark Bewölkt,8.8,88.2
Cottbus,Leichter Regen,20.4,17.64
Dresden-Klotzsche,Bedeckt,22.4,34.56
Erfurt-Bindersleben,Stark Bewölkt,19.4,51.48
Fichtelberg,Stark Bewölkt,14.0,66.6
Gera-Leumnitz,Bedeckt,19.8,42.12
Görlitz,Bedeckt,21.6,27.72
Leipzig-Schkeuditz,Bedeckt,21.3,58.32
Lindenberg,Regen,16.0,16.92
Magdeburg,Leichter Regen,18.5,22.68
Meiningen,Stark Bewölkt,18.9,27.0
Neuruppin-Alt Ruppin,Regen,15.4,15.84
Potsdam,Leichter Regen,15.5,25.56
Augsburg-Mühlhausen,Trockener Dunst,24.6,41.04
Bamberg,Stark Bewölkt,22.0,24.84
Feldberg/Schwarzwald,Wolkenlos,12.7,50.04
Freudenstadt,Wolkenlos,19.5,28.8
Fürstenzell,Wolkig,26.0,28.44
Grosser Arber,Wolkig,15.8,41.76
Hof Hohensaas,Stark Bewölkt,18.4,24.12
Hohenpeissenberg,Leicht Bewölkt,21.8,46.8
Kempten,Wolkig,23.4,19.44
Konstanz,Bedeckt,25.5,23.04
Lahr,Wolkenlos,25.5,27.36
Mannheim,Stark Bewölkt,22.6,32.04
München-Flughafen,Leicht Bewölkt,26.3,54.72
Nürnberg-Flughafen,Wolkig,22.4,37.08
Oberstdorf,Stark Bewölkt,24.3,20.88
Oehringen,Wolkig,22.8,47.52
Regensburg,Wolkenlos,26.0,24.12
Rheinstetten,Wolkig,24.8,39.6
Straubing,Leicht Bewölkt,26.5,26.28
Stuttgart-Echterdingen,Leicht Bewölkt,24.0,38.52
Weiden,Wolkig,21.6,28.8
Würzburg,Stark Bewölkt,22.6,39.24
Zugspitze,Wolkig,5.7,16.56
Aachen,Bedeckt,17.9,37.8
Bad Lippspringe,Sprühregen,15.4,29.16
Düsseldorf-Flughafen,Niederschlag,18.9,45.0
Frankfurt/M.-Flughafen,Stark Bewölkt,20.1,38.52
Fritzlar,Leichter Regen,18.9,32.4
Gießen Wettenberg,Bedeckt,19.5,45.72
Hahn-Flughafen,Trocken,16.6,37.08
Kahler Asten,Regen,10.7,41.04
Köln-Wahn,Niederschlag,17.8,27.72
Münster/Osnabrück-Flughafen,Niederschlag,16.5,42.84
Nürburg-Barweiler,Sprühregen,16.5,28.08
Offenbach/Wetterpark,Bedeckt,20.0,30.24
Saarbrücken/Ensheim,Stark Bewölkt,19.4,39.24
Trier-Petrisberg,Bedeckt,20.4,41.04
Wasserkuppe,Stark Bewölkt,13.3,47.52
